Algorithm,Function,Mean,Std,Convergence
SHADE,F8,2214.798,8.656,1:1.2943395380646954e+17;100:2226.895;200:2221.446;300:2220.362;400:2218.716;500:2217.769;600:2217.089;700:2216.668;800:2216.491;900:2216.327;1000:2215.975;1100:2215.831;1200:2215.714;1300:2215.553;1400:2215.4;1500:2215.241;1600:2215.224;1700:2215.199;1800:2215.117;1900:2215.105;2000:2214.798
SHADE,F9,2560.017,172.095,1:8408.448;100:2567.629;200:2562.234;300:2560.137;400:2560.018;500:2560.017;600:2560.017;700:2560.017;800:2560.017;900:2560.017;1000:2560.017;1100:2560.017;1200:2560.017;1300:2560.017;1400:2560.017;1500:2560.017;1600:2560.017;1700:2560.017;1800:2560.017;1900:2560.017;2000:2560.017
SHADE,F10,3252.068,609.83,1:5556.152;100:3253.186;200:3252.068;300:3252.068;400:3252.068;500:3252.068;600:3252.068;700:3252.068;800:3252.068;900:3252.068;1000:3252.068;1100:3252.068;1200:3252.068;1300:3252.068;1400:3252.068;1500:3252.068;1600:3252.068;1700:3252.068;1800:3252.068;1900:3252.068;2000:3252.068
SHADE,F11,2600,0,1:6116.16;100:2600.57;200:2600.0;300:2600.0;400:2600.0;500:2600.0;600:2600.0;700:2600.0;800:2600.0;900:2600.0;1000:2600.0;1100:2600.0;1200:2600.0;1300:2600.0;1400:2600.0;1500:2600.0;1600:2600.0;1700:2600.0;1800:2600.0;1900:2600.0;2000:2600.0
SHADE,F12,2866.125,1.281,1:5202.599;100:2974.957;200:2866.411;300:2866.137;400:2866.126;500:2866.125;600:2866.125;700:2866.125;800:2866.125;900:2866.125;1000:2866.125;1100:2866.125;1200:2866.125;1300:2866.125;1400:2866.125;1500:2866.125;1600:2866.125;1700:2866.125;1800:2866.125;1900:2866.125;2000:2866.125
ILSHADE,F1,300,0,1:19955.652;100:300.002;200:300.0;300:300.0;400:300.0;500:300.0;600:300.0;700:300.0;800:300.0;900:300.0;1000:300.0;1100:300.0;1200:300.0;1300:300.0;1400:300.0;1500:300.0;1600:300.0;1700:300.0;1800:300.0;1900:300.0;2000:300.0;2100:300.0;2200:300.0;2300:300.0;2400:300.0;2500:300.0;2600:300.0;2700:300.0;2800:300.0;2900:300.0;3000:300.0;3100:300.0;3200:300.0;3300:300.0;3400:300.0;3500:300.0;3600:300.0;3700:300.0;3800:300.0;3900:300.0;4000:300.0;4100:300.0;4200:300.0;4300:300.0;4400:300.0;4500:300.0;4600:300.0;4700:300.0;4800:300.0;4900:300.0;5000:300.0;5100:300.0;5200:300.0;5300:300.0;5400:300.0;5500:300.0;5600:300.0;5700:300.0;5800:300.0;5900:300.0;6000:300.0;6100:300.0;6200:300.0;6300:300.0;6400:300.0;6500:300.0;6600:300.0;6700:300.0
ILSHADE,F2,400.892,2.675,1:10348.871;100:400.906;200:400.892;300:400.892;400:400.892;500:400.892;600:400.892;700:400.892;800:400.892;900:400.892;1000:400.892;1100:400.892;1200:400.892;1300:400.892;1400:400.892;1500:400.892;1600:400.892;1700:400.892;1800:400.892;1900:400.892;2000:400.892;2100:400.892;2200:400.892;2300:400.892;2400:400.892;2500:400.892;2600:400.892;2700:400.892;2800:400.892;2900:400.892;3000:400.892;3100:400.892;3200:400.892;3300:400.892;3400:400.892;3500:400.892;3600:400.892;3700:400.892;3800:400.892;3900:400.892;4000:400.892;4100:400.892;4200:400.892;4300:400.892;4400:400.892;4500:400.892;4600:400.892;4700:400.892;4800:400.892;4900:400.892;5000:400.892;5100:400.892;5200:400.892;5300:400.892;5400:400.892;5500:400.892;5600:400.892;5700:400.892;5800:400.892;5900:400.892;6000:400.892;6100:400.892;6200:400.892;6300:400.892;6400:400.892;6500:400.892;6600:400.892;6700:400.892
ILSHADE,F3,600,0,1:601.065;100:600.0;200:600.0;300:600.0;400:600.0;500:600.0;600:600.0;700:600.0;800:600.0;900:600.0;1000:600.0;1100:600.0;1200:600.0;1300:600.0;1400:600.0;1500:600.0;1600:600.0;1700:600.0;1800:600.0;1900:600.0;2000:600.0;2100:600.0;2200:600.0;2300:600.0;2400:600.0;2500:600.0;2600:600.0;2700:600.0;2800:600.0;2900:600.0;3000:600.0;3100:600.0;3200:600.0;3300:600.0;3400:600.0;3500:600.0;3600:600.0;3700:600.0;3800:600.0;3900:600.0;4000:600.0;4100:600.0;4200:600.0;4300:600.0;4400:600.0;4500:600.0;4600:600.0;4700:600.0;4800:600.0;4900:600.0;5000:600.0;5100:600.0;5200:600.0;5300:600.0;5400:600.0;5500:600.0;5600:600.0;5700:600.0;5800:600.0;5900:600.0;6000:600.0;6100:600.0;6200:600.0;6300:600.0;6400:600.0;6500:600.0;6600:600.0;6700:600.0
ILSHADE,F4,857.6,2.939,1:1031.349;100:857.6;200:857.6;300:857.6;400:857.6;500:857.6;600:857.6;700:857.6;800:857.6;900:857.6;1000:857.6;1100:857.6;1200:857.6;1300:857.6;1400:857.6;1500:857.6;1600:857.6;1700:857.6;1800:857.6;1900:857.6;2000:857.6;2100:857.6;2200:857.6;2300:857.6;2400:857.6;2500:857.6;2600:857.6;2700:857.6;2800:857.6;2900:857.6;3000:857.6;3100:857.6;3200:857.6;3300:857.6;3400:857.6;3500:857.6;3600:857.6;3700:857.6;3800:857.6;3900:857.6;4000:857.6;4100:857.6;4200:857.6;4300:857.6;4400:857.6;4500:857.6;4600:857.6;4700:857.6;4800:857.6;4900:857.6;5000:857.6;5100:857.6;5200:857.6;5300:857.6;5400:857.6;5500:857.6;5600:857.6;5700:857.6;5800:857.6;5900:857.6;6000:857.6;6100:857.6;6200:857.6;6300:857.6;6400:857.6;6500:857.6;6600:857.6;6700:857.6
ILSHADE,F5,900.789,0.363,1:908.249;100:900.789;200:900.789;300:900.789;400:900.789;500:900.789;600:900.789;700:900.789;800:900.789;900:900.789;1000:900.789;1100:900.789;1200:900.789;1300:900.789;1400:900.789;1500:900.789;1600:900.789;1700:900.789;1800:900.789;1900:900.789;2000:900.789;2100:900.789;2200:900.789;2300:900.789;2400:900.789;2500:900.789;2600:900.789;2700:900.789;2800:900.789;2900:900.789;3000:900.789;3100:900.789;3200:900.789;3300:900.789;3400:900.789;3500:900.789;3600:900.789;3700:900.789;3800:900.789;3900:900.789;4000:900.789;4100:900.789;4200:900.789;4300:900.789;4400:900.789;4500:900.789;4600:900.789;4700:900.789;4800:900.789;4900:900.789;5000:900.789;5100:900.789;5200:900.789;5300:900.789;5400:900.789;5500:900.789;5600:900.789;5700:900.789;5800:900.789;5900:900.789;6000:900.789;6100:900.789;6200:900.789;6300:900.789;6400:900.789;6500:900.789;6600:900.789;6700:900.789
ILSHADE,F6,1800.286,0.172,1:9083188196.106;100:1864.627;200:1800.783;300:1800.429;400:1800.373;500:1800.353;600:1800.339;700:1800.334;800:1800.33;900:1800.324;1000:1800.316;1100:1800.315;1200:1800.313;1300:1800.312;1400:1800.311;1500:1800.309;1600:1800.306;1700:1800.305;1800:1800.303;1900:1800.301;2000:1800.299;2100:1800.297;2200:1800.297;2300:1800.296;2400:1800.296;2500:1800.295;2600:1800.294;2700:1800.294;2800:1800.294;2900:1800.293;3000:1800.293;3100:1800.291;3200:1800.291;3300:1800.291;3400:1800.29;3500:1800.29;3600:1800.289;3700:1800.289;3800:1800.289;3900:1800.289;4000:1800.288;4100:1800.288;4200:1800.288;4300:1800.288;4400:1800.288;4500:1800.288;4600:1800.288;4700:1800.288;4800:1800.288;4900:1800.288;5000:1800.287;5100:1800.287;5200:1800.287;5300:1800.287;5400:1800.287;5500:1800.287;5600:1800.287;5700:1800.287;5800:1800.287;5900:1800.287;6000:1800.287;6100:1800.287;6200:1800.287;6300:1800.287;6400:1800.287;6500:1800.286;6600:1800.286;6700:1800.286
