Algorithm,Function,Mean,Std,Convergence
DE,F15,3068.331,2224.096,1:234636113673.516;100:70392852.773;200:161195.403;300:39569.431;400:14613.046;500:9393.65;600:7032.876;700:6044.852;800:5542.104;900:5051.293;1000:4694.173;1100:4385.414;1200:4162.248;1300:4022.621;1400:3913.536;1500:3819.083;1600:3718.279;1700:3608.108;1800:3504.418;1900:3404.859;2000:3358.717;2100:3285.192;2200:3234.319;2300:3196.826;2400:3137.952;2500:3068.331
DE,F16,23583.355,6956.012,1:469348431333573.75;100:9226997.277;200:535662.53;300:206567.655;400:118739.118;500:104033.434;600:85864.289;700:76138.473;800:69145.282;900:63613.899;1000:60043.505;1100:53598.431;1200:48050.39;1300:45680.28;1400:43577.848;1500:40674.347;1600:38324.439;1700:35702.601;1800:34298.422;1900:31950.253;2000:30659.203;2100:28992.075;2200:27537.931;2300:25698.126;2400:24645.852;2500:23583.355
DE,F17,341094.414,88263.746,1:6828369248.629;100:18731667.239;200:8292436.224;300:5223297.416;400:3721420.02;500:2953969.392;600:2453082.832;700:2086797.934;800:1767426.111;900:1601891.041;1000:1438057.319;1100:1244363.66;1200:1099273.889;1300:937888.033;1400:852423.073;1500:784273.785;1600:675452.509;1700:628345.381;1800:574335.741;1900:540260.702;2000:492656.263;2100:450570.232;2200:419603.294;2300:376777.017;2400:359006.431;2500:341094.414
DE,F18,13186.31,8291.476,1:1.163373422192875e+18;100:72052607093.429;200:229940794.392;300:17798705.395;400:4720896.413;500:1833766.262;600:897559.928;700:484319.476;800:338712.095;900:230103.236;1000:160209.778;1100:118915.862;1200:93961.712;1300:75766.501;1400:58962.888;1500:52050.33;1600:41969.921;1700:34047.421;1800:31294.541;1900:25938.801;2000:23867.346;2100:21458.716;2200:18388.366;2300:16827.69;2400:14175.169;2500:13186.31
DE,F19,2078.541,82.792,1:29181.514;100:7474.62;200:2974.885;300:2504.671;400:2363.581;500:2281.191;600:2231.091;700:2197.934;800:2172.225;900:2160.156;1000:2145.076;1100:2137.391;1200:2126.571;1300:2121.206;1400:2116.45;1500:2109.948;1600:2105.881;1700:2100.036;1800:2097.722;1900:2092.423;2000:2089.503;2100:2086.766;2200:2085.37;2300:2082.955;2400:2080.339;2500:2078.541
DE,F20,2437.945,239.329,1:104883.976;100:22654.002;200:5908.268;300:3693.733;400:3163.903;500:2947.114;600:2762.348;700:2622.378;800:2536.699;900:2500.7;1000:2478.931;1100:2468.798;1200:2464.324;1300:2460.683;1400:2456.684;1500:2455.496;1600:2452.076;1700:2451.194;1800:2448.382;1900:2446.84;2000:2441.798;2100:2440.868;2200:2439.412;2300:2438.789;2400:2438.458;2500:2437.945
DE,F21,2434.986,369.726,1:18361.642;100:8641.225;200:5117.804;300:3532.718;400:2970.14;500:2757.973;600:2643.564;700:2575.31;800:2528.825;900:2496.047;1000:2476.259;1100:2460.996;1200:2451.461;1300:2444.582;1400:2438.861;1500:2435.789;1600:2435.127;1700:2435.012;1800:2434.99;1900:2434.987;2000:2434.987;2100:2434.986;2200:2434.986;2300:2434.986;2400:2434.986;2500:2434.986
DE,F22,2864.531,155.856,1:116424.412;100:41906.372;200:9355.112;300:4751.833;400:3511.571;500:3159.918;600:3033.39;700:2976.969;800:2948.847;900:2928.282;1000:2915.364;1100:2905.141;1200:2897.409;1300:2891.271;1400:2887.068;1500:2884.514;1600:2879.846;1700:2877.756;1800:2877.264;1900:2874.574;2000:2872.717;2100:2870.926;2200:2869.424;2300:2868.118;2400:2864.854;2500:2864.531
DE,F23,2777.933,260.125,1:71291.792;100:29354.153;200:9218.761;300:5297.452;400:3893.403;500:3255.95;600:2980.233;700:2880.464;800:2834.061;900:2815.562;1000:2805.402;1100:2799.762;1200:2795.853;1300:2792.654;1400:2789.982;1500:2786.101;1600:2785.065;1700:2782.444;1800:2782.319;1900:2781.803;2000:2780.568;2100:2780.567;2200:2779.818;2300:2778.591;2400:2778.221;2500:2777.933
DE,F24,3158.774,14.688,1:46945.096;100:7239.894;200:4390.094;300:3798.291;400:3576.088;500:3436.318;600:3358.242;700:3302.964;800:3265.02;900:3236.573;1000:3216.101;1100:3201.196;1200:3190.446;1300:3183.059;1400:3177.021;1500:3172.573;1600:3169.505;1700:3166.674;1800:3164.75;1900:3163.181;2000:3161.92;2100:3160.75;2200:3160.133;2300:3159.487;2400:3159.015;2500:3158.774
DE,F25,3752.789,111.509,1:267231.536;100:7525.229;200:4341.557;300:4089.679;400:3987.627;500:3927.562;600:3878.214;700:3839.953;800:3817.083;900:3799.559;1000:3784.85;1100:3774.816;1200:3768.91;1300:3764.393;1400:3761.774;1500:3759.58;1600:3758.342;1700:3756.93;1800:3756.047;1900:3755.426;2000:3754.873;2100:3754.562;2200:3754.311;2300:3753.993;2400:3753.369;2500:3752.789
DE,F26,3108.405,8.541,1:15842.498;100:10178.991;200:4187.642;300:3425.305;400:3341.723;500:3285.422;600:3258.026;700:3237.954;800:3217.729;900:3204.508;1000:3191.03;1100:3179.997;1200:3165.456;1300:3156.886;1400:3150.412;1500:3143.942;1600:3136.938;1700:3131.986;1800:3128.555;1900:3124.572;2000:3121.68;2100:3118.884;2200:3115.496;2300:3112.928;2400:3110.588;2500:3108.405
DE,F27,2700.002,0.005,1:14071.752;100:3768.333;200:3296.684;300:3228.055;400:3167.644;500:3080.604;600:2991.792;700:2914.066;800:2850.309;900:2801.432;1000:2770.147;1100:2745.696;1200:2729.379;1300:2718.263;1400:2710.629;1500:2705.537;1600:2702.726;1700:2701.452;1800:2700.67;1900:2700.276;2000:2700.122;2100:2700.05;2200:2700.022;2300:2700.01;2400:2700.005;2500:2700.002
DE,F28,492527.518,251460.784,1:8650523978369551.0;100:8668132400.586;200:266197361.558;300:82673201.096;400:39023086.872;500:19590314.645;600:12350013.233;700:8195113.196;800:6513530.95;900:4761275.531;1000:4109924.831;1100:3234325.454;1200:2985258.381;1300:2310905.558;1400:1939283.213;1500:1745996.468;1600:1433752.325;1700:1214910.81;1800:1094289.119;1900:892410.832;2000:794488.833;2100:755744.232;2200:652434.595;2300:586612.636;2400:552460.61;2500:492527.518
DE,F29,72342938.7,25625554.22,1:3.5598646431235904e+17;100:506747905354.772;200:4909495368.5;300:2118457472.991;400:1420990569.686;500:977163055.614;600:692003853.015;700:582935903.869;800:492513960.113;900:410398506.207;1000:367284668.17;1100:316565037.052;1200:278007789.388;1300:237470512.834;1400:213591453.86;1500:198734349.829;1600:179775747.597;1700:160207499.848;1800:142749165.662;1900:127325196.371;2000:119114853.873;2100:103792502.637;2200:97306051.762;2300:91493371.934;2400:78120969.598;2500:72342938.7
SaDE,F1,2406.941,3713.949,1:132298539172.904;100:8626532855.951;200:135440576.375;300:2244494.676;400:41516.254;500:3497.149;600:2680.407;700:2658.333;800:2657.479;900:2657.374;1000:2657.197;1100:2656.812;1200:2655.981;1300:2645.152;1400:2607.068;1500:2590.834;1600:2585.14;1700:2579.148;1800:2571.783;1900:2562.367;2000:2546.568;2100:2533.954;2200:2517.116;2300:2471.52;2400:2447.255;2500:2406.941
SaDE,F2,200,0,1:6806425.289;100:64243.451;200:19979.972;300:5078.401;400:930.327;500:258.383;600:204.763;700:200.437;800:200.066;900:200.009;1000:200.001;1100:200.0;1200:200.0;1300:200.0;1400:200.0;1500:200.0;1600:200.0;1700:200.0;1800:200.0;1900:200.0;2000:200.0;2100:200.0;2200:200.0;2300:200.0;2400:200.0;2500:200.0
SaDE,F3,376.559,41.779,1:57493.078;100:1761.41;200:552.363;300:473.197;400:451.673;500:440.835;600:432.506;700:426.208;800:419.357;900:413.487;1000:410.015;1100:406.919;1200:404.252;1300:401.476;1400:397.622;1500:394.263;1600:391.993;1700:390.264;1800:387.918;1900:386.226;2000:384.918;2100:381.714;2200:380.636;2300:378.851;2400:377.83;2500:376.559
SaDE,F4,528.979,24.575,1:138452.561;100:10621.252;200:1037.817;300:846.218;400:782.302;500:723.45;600:688.341;700:666.898;800:648.413;900:631.675;1000:616.841;1100:603.853;1200:596.362;1300:586.109;1400:577.843;1500:570.953;1600:564.048;1700:558.469;1800:555.229;1900:551.336;2000:546.423;2100:542.354;2200:538.671;2300:536.044;2400:533.331;2500:528.979
SaDE,F5,500.001,0,1:500.11;100:500.004;200:500.002;300:500.001;400:500.001;500:500.001;600:500.001;700:500.001;800:500.001;900:500.001;1000:500.001;1100:500.001;1200:500.001;1300:500.001;1400:500.001;1500:500.001;1600:500.001;1700:500.001;1800:500.001;1900:500.001;2000:500.001;2100:500.001;2200:500.001;2300:500.001;2400:500.001;2500:500.001
SaDE,F6,800.965,34.161,1:8538577.968;100:428290.407;200:9241.9;300:1326.241;400:1111.77;500:1046.894;600:989.131;700:961.446;800:940.04;900:921.018;1000:909.549;1100:895.536;1200:882.929;1300:873.304;1400:862.379;1500:853.747;1600:843.732;1700:836.341;1800:829.882;1900:823.367;2000:819.09;2100:815.587;2200:811.282;2300:808.063;2400:804.726;2500:800.965
SaDE,F7,1541.085,38.194,1:2549.045;100:1647.908;200:1554.712;300:1546.785;400:1544.601;500:1543.863;600:1543.474;700:1542.546;800:1542.347;900:1541.709;1000:1541.668;1100:1541.66;1200:1541.648;1300:1541.644;1400:1541.643;1500:1541.627;1600:1541.265;1700:1541.119;1800:1541.114;1900:1541.103;2000:1541.097;2100:1541.093;2200:1541.089;2300:1541.088;2400:1541.085;2500:1541.085
SaDE,F8,822.008,1.581,1:955.632;100:828.086;200:823.087;300:822.397;400:822.241;500:822.2;600:822.174;700:822.131;800:822.102;900:822.066;1000:822.035;1100:822.017;1200:822.013;1300:822.009;1400:822.008;1500:822.008;1600:822.008;1700:822.008;1800:822.008;1900:822.008;2000:822.008;2100:822.008;2200:822.008;2300:822.008;2400:822.008;2500:822.008
SaDE,F9,9068.693,422.02,1:18586.584;100:9861.977;200:9187.517;300:9108.889;400:9090.914;500:9078.235;600:9073.741;700:9071.342;800:9070.195;900:9069.627;1000:9069.273;1100:9069.085;1200:9068.972;1300:9068.892;1400:9068.849;1500:9068.799;1600:9068.776;1700:9068.764;1800:9068.747;1900:9068.729;2000:9068.722;2100:9068.712;2200:9068.707;2300:9068.701;2400:9068.698;2500:9068.693
SaDE,F10,3749.413,3681.605,1:56577836600.091;100:1827404.059;200:90178.505;300:46875.938;400:29815.474;500:22045.262;600:17560.239;700:14957.327;800:12928.399;900:11428.83;1000:9977.498;1100:8801.941;1200:8042.692;1300:7236.463;1400:6652.367;1500:5955.974;1600:5194.891;1700:4850.532;1800:4516.179;1900:4336.952;2000:4221.246;2100:4037.719;2200:3954.809;2300:3891.907;2400:3809.345;2500:3749.413
SaDE,F11,13174.364,6003.375,1:33454745960.164;100:212852425.916;200:10970159.052;300:2682987.173;400:1168571.257;500:630886.062;600:345716.593;700:210112.814;800:130482.879;900:91258.179;1000:64474.986;1100:46999.924;1200:36054.947;1300:29188.501;1400:25613.767;1500:21975.654;1600:19470.784;1700:17049.32;1800:15855.325;1900:15029.861;2000:14472.695;2100:14191.281;2200:13766.42;2300:13481.147;2400:13346.406;2500:13174.364
SaDE,F12,13824.966,7103.086,1:140831350397.476;100:431588428.491;200:972511.047;300:96362.744;400:28917.305;500:16867.949;600:14978.136;700:14250.134;800:14055.853;900:13960.797;1000:13922.861;1100:13902.795;1200:13886.455;1300:13873.518;1400:13866.156;1500:13860.433;1600:13854.372;1700:13849.357;1800:13844.316;1900:13841.545;2000:13837.441;2100:13834.769;2200:13831.809;2300:13828.491;2400:13826.136;2500:13824.966
SaDE,F13,10970.311,9375.691,1:46959871389.942;100:2231381.33;200:840556.395;300:485237.458;400:305039.245;500:190867.667;600:127798.739;700:96564.758;800:75212.168;900:64525.096;1000:53206.482;1100:42931.085;1200:37589.945;1300:31110.599;1400:26423.882;1500:23630.038;1600:21038.972;1700:19331.171;1800:17744.454;1900:16820.294;2000:15638.648;2100:14484.036;2200:13426.02;2300:12257.82;2400:11637.174;2500:10970.311
SaDE,F14,6203.061,2235.815,1:50253727677.686;100:62510427.085;200:150831.397;300:40012.239;400:23639.392;500:20144.652;600:17953.795;700:16010.111;800:14145.88;900:12238.84;1000:11080.057;1100:10098.838;1200:9421.611;1300:8905.126;1400:8290.817;1500:7695.076;1600:7400.317;1700:7198.948;1800:6991.54;1900:6874.918;2000:6785.739;2100:6670.797;2200:6570.791;2300:6465.347;2400:6390.682;2500:6203.061
SaDE,F15,1983.333,375.514,1:231385075501.617;100:714604.503;200:21560.932;300:4519.057;400:3587.987;500:3359.619;600:3098.665;700:2750.965;800:2386.983;900:2190.598;1000:2068.216;1100:2023.413;1200:2002.588;1300:1989.726;1400:1985.693;1500:1984.22;1600:1983.933;1700:1983.851;1800:1983.787;1900:1983.705;2000:1983.656;2100:1983.598;2200:1983.548;2300:1983.495;2400:1983.41;2500:1983.333
SaDE,F16,1788.428,218.737,1:430147209006144.44;100:63676.763;200:31378.557;300:15062.085;400:7564.516;500:4348.965;600:3222.428;700:2755.053;800:2520.28;900:2391.249;1000:2294.86;1100:2216.851;1200:2156.426;1300:2077.24;1400:2024.635;1500:1971.21;1600:1947.429;1700:1918.676;1800:1887.718;1900:1863.271;2000:1845.536;2100:1832.283;2200:1818.716;2300:1808.255;2400:1796.693;2500:1788.428
SaDE,F17,13654.629,12193.759,1:6745488068.52;100:7243863.668;200:1872028.804;300:922169.713;400:526613.391;500:329342.756;600:172003.747;700:105141.27;800:73259.088;900:60670.71;1000:51656.176;1100:45020.175;1200:39961.86;1300:35507.644;1400:30922.551;1500:27663.49;1600:24707.811;1700:22635.964;1800:20594.38;1900:19030.157;2000:17888.084;2100:17111.034;2200:16082.798;2300:15369.024;2400:14523.948;2500:13654.629
SaDE,F18,3500.512,1961.001,1:1.0806130602110139e+18;100:1439222764.639;200:534778.477;300:60956.805;400:27967.41;500:14573.307;600:8656.017;700:6527.919;800:5547.395;900:5130.376;1000:4920.934;1100:4821.649;1200:4718.749;1300:4590.673;1400:4480.296;1500:4399.298;1600:4321.521;1700:4247.339;1800:4080.744;1900:3983.624;2000:3912.98;2100:3828.606;2200:3722.049;2300:3664.436;2400:3587.059;2500:3500.512
SaDE,F19,2018.677,107.903,1:29144.306;100:3647.918;200:2266.57;300:2121.626;400:2093.128;500:2076.055;600:2060.998;700:2050.604;800:2045.304;900:2040.722;1000:2038.213;1100:2034.293;1200:2030.781;1300:2029.073;1400:2027.634;1500:2025.956;1600:2024.851;1700:2023.881;1800:2022.611;1900:2022.046;2000:2021.178;2100:2020.705;2200:2020.132;2300:2019.643;2400:2019.252;2500:2018.677
SaDE,F20,2227.37,112.105,1:104654.474;100:9196.163;200:2856.697;300:2461.546;400:2375.484;500:2344.013;600:2322.361;700:2309.102;800:2299.458;900:2291.174;1000:2282.27;1100:2274.06;1200:2266.298;1300:2261.837;1400:2254.249;1500:2250.91;1600:2248.481;1700:2245.044;1800:2240.566;1900:2237.599;2000:2234.98;2100:2232.793;2200:2231.379;2300:2230.117;2400:2228.716;2500:2227.37
SaDE,F21,3869.772,1256.212,1:18236.68;100:7980.824;200:5279.829;300:4433.448;400:4089.606;500:3942.638;600:3893.346;700:3874.497;800:3870.471;900:3869.82;1000:3869.775;1100:3869.773;1200:3869.772;1300:3869.772;1400:3869.772;1500:3869.772;1600:3869.772;1700:3869.772;1800:3869.772;1900:3869.772;2000:3869.772;2100:3869.772;2200:3869.772;2300:3869.772;2400:3869.772;2500:3869.772
SaDE,F22,2574.627,119.167,1:115837.432;100:20573.325;200:3686.941;300:2880.942;400:2771.013;500:2725.815;600:2692.697;700:2678.234;800:2663.543;900:2652.871;1000:2641.019;1100:2631.981;1200:2622.064;1300:2616.031;1400:2607.947;1500:2602.897;1600:2599.95;1700:2594.592;1800:2589.518;1900:2585.823;2000:2583.794;2100:2580.835;2200:2578.646;2300:2576.42;2400:2575.192;2500:2574.627
SaDE,F23,2635.026,111.854,1:71008.69;100:14757.677;200:3483.02;300:2878.302;400:2795.327;500:2756.634;600:2733.644;700:2715.538;800:2700.798;900:2688.876;1000:2681.574;1100:2674.845;1200:2667.615;1300:2660.872;1400:2658.183;1500:2654.835;1600:2652.661;1700:2649.859;1800:2647.28;1900:2645.532;2000:2642.883;2100:2641.287;2200:2639.268;2300:2637.965;2400:2636.505;2500:2635.026
SaDE,F24,3214.245,52.282,1:46296.256;100:5196.91;200:3499.518;300:3305.337;400:3250.933;500:3231.462;600:3221.377;700:3218.032;800:3215.621;900:3214.677;1000:3214.4;1100:3214.297;1200:3214.264;1300:3214.254;1400:3214.249;1500:3214.248;1600:3214.247;1700:3214.246;1800:3214.246;1900:3214.245;2000:3214.245;2100:3214.245;2200:3214.245;2300:3214.245;2400:3214.245;2500:3214.245
SaDE,F25,3608.237,309.783,1:263958.69;100:4885.927;200:3899.832;300:3780.391;400:3739.324;500:3720.916;600:3711.649;700:3692.771;800:3672.349;900:3667.592;1000:3664.612;1100:3662.802;1200:3661.276;1300:3660.331;1400:3658.738;1500:3655.862;1600:3654.566;1700:3653.599;1800:3652.817;1900:3642.134;2000:3624.032;2100:3619.996;2200:3618.979;2300:3618.603;2400:3614.825;2500:3608.237
SaDE,F26,6095.065,1930.371,1:15661.945;100:8070.25;200:6468.256;300:6219.201;400:6163.104;500:6139.632;600:6123.306;700:6117.145;800:6114.616;900:6112.383;1000:6099.197;1100:6098.589;1200:6098.254;1300:6097.826;1400:6097.514;1500:6096.972;1600:6096.528;1700:6096.419;1800:6096.199;1900:6096.094;2000:6095.724;2100:6095.383;2200:6095.241;2300:6095.219;2400:6095.129;2500:6095.065
SaDE,F27,2700,0,1:13956.733;100:3345.104;200:3085.052;300:2904.409;400:2786.353;500:2734.336;600:2710.266;700:2702.731;800:2700.631;900:2700.086;1000:2700.013;1100:2700.002;1200:2700.001;1300:2700.0;1400:2700.0;1500:2700.0;1600:2700.0;1700:2700.0;1800:2700.0;1900:2700.0;2000:2700.0;2100:2700.0;2200:2700.0;2300:2700.0;2400:2700.0;2500:2700.0
SaDE,F28,8349.474,1225.759,1:7847208456722064.0;100:212760115.12;200:451890.88;300:78086.855;400:26809.684;500:16382.65;600:13069.126;700:11346.005;800:10534.838;900:10050.078;1000:9735.417;1100:9492.019;1200:9178.84;1300:9033.912;1400:8852.245;1500:8765.596;1600:8689.867;1700:8644.798;1800:8552.368;1900:8505.996;2000:8477.703;2100:8454.935;2200:8421.475;2300:8375.364;2400:8361.66;2500:8349.474
SaDE,F29,48327.044,63573.937,1:3.257455083325647e+17;100:2016220455.462;200:68465634.941;300:11777668.427;400:3940696.047;500:1992080.546;600:1141588.455;700:744147.128;800:529916.11;900:391655.17;1000:327529.391;1100:287407.393;1200:264774.101;1300:241760.884;1400:224370.851;1500:203837.084;1600:182566.35;1700:162519.586;1800:135296.695;1900:106611.842;2000:76121.1;2100:67589.179;2200:60767.597;2300:55173.791;2400:51338.892;2500:48327.044
SHADE,F1,1516.455,1822.144,1:132417580787.164;100:15231351952.63;200:84530086.89;300:191526.63;400:2901.188;500:1981.73;600:1974.841;700:1974.766;800:1974.731;900:1974.69;1000:1974.638;1100:1974.59;1200:1974.544;1300:1974.489;1400:1974.431;1500:1974.37;1600:1974.311;1700:1974.263;1800:1974.206;1900:1974.054;2000:1963.811;2100:1930.925;2200:1661.494;2300:1550.509;2400:1522.758;2500:1516.455
SHADE,F2,200,0,1:7306394.269;100:64699.939;200:17756.632;300:2974.947;400:319.293;500:201.87;600:200.022;700:200.0;800:200.0;900:200.0;1000:200.0;1100:200.0;1200:200.0;1300:200.0;1400:200.0;1500:200.0;1600:200.0;1700:200.0;1800:200.0;1900:200.0;2000:200.0;2100:200.0;2200:200.0;2300:200.0;2400:200.0;2500:200.0
SHADE,F3,391.07,24.416,1:57157.952;100:2909.511;200:567.357;300:495.349;400:475.67;500:463.907;600:454.539;700:447.393;800:443.026;900:438.009;1000:431.576;1100:425.676;1200:420.208;1300:417.144;1400:415.264;1500:413.147;1600:408.001;1700:402.558;1800:397.488;1900:394.621;2000:393.945;2100:393.352;2200:391.927;2300:391.635;2400:391.441;2500:391.07
SHADE,F4,494.154,10.219,1:138526.457;100:18565.694;200:978.106;300:815.448;400:765.08;500:716.424;600:674.642;700:640.863;800:618.648;900:604.039;1000:589.8;1100:576.464;1200:565.527;1300:554.315;1400:543.789;1500:536.286;1600:530.073;1700:523.71;1800:518.836;1900:514.298;2000:510.319;2100:506.615;2200:503.782;2300:499.748;2400:496.537;2500:494.154
SHADE,F5,500.001,0.001,1:500.108;100:500.003;200:500.002;300:500.002;400:500.002;500:500.001;600:500.001;700:500.001;800:500.001;900:500.001;1000:500.001;1100:500.001;1200:500.001;1300:500.001;1400:500.001;1500:500.001;1600:500.001;1700:500.001;1800:500.001;1900:500.001;2000:500.001;2100:500.001;2200:500.001;2300:500.001;2400:500.001;2500:500.001
SHADE,F6,766.171,17.73,1:8534164.428;100:731167.243;200:5228.275;300:1159.901;400:1074.54;500:1016.672;600:975.045;700:938.268;800:908.691;900:887.978;1000:871.755;1100:857.807;1200:847.794;1300:835.141;1400:824.314;1500:815.947;1600:808.306;1700:801.403;1800:795.997;1900:791.695;2000:786.191;2100:780.871;2200:776.415;2300:772.552;2400:768.819;2500:766.171
