Function,Mean,Std,Convergence
F13,1300.52,0.036,0:1313.4;100:1301.0;200:1301.0;300:1301.0;400:1301.0;500:1301.0;600:1301.0;700:1301.0;800:1300.8;900:1300.8;1000:1300.8;1100:1300.8;1200:1300.8;1300:1300.8;1400:1300.8;1500:1300.8;1600:1300.8;1700:1300.8;1800:1300.8;1900:1300.8;2000:1300.8;2100:1300.8;2200:1300.8;2300:1300.8;2400:1300.8;2500:1300.8;2600:1300.8;2700:1300.8;2800:1300.6;2900:1300.6;3000:1300.6;3100:1300.6;3200:1300.6;3300:1300.6;3400:1300.6;3500:1300.6;3600:1300.6;3700:1300.6;3800:1300.6;3900:1300.6;4000:1300.6;4100:1300.6;4200:1300.6;4300:1300.6;4400:1300.6;4500:1300.6;4600:1300.6;4700:1300.6;4800:1300.6;4900:1300.6;5000:1300.6
F14,1400.356,0.027,0:2988.4;100:1442.0;200:1400.6;300:1400.4;400:1400.4;500:1400.2;600:1400.0;700:1400.0;800:1400.0;900:1400.0;1000:1400.0;1100:1400.0;1200:1400.0;1300:1400.0;1400:1400.0;1500:1400.0;1600:1400.0;1700:1400.0;1800:1400.0;1900:1400.0;2000:1400.0;2100:1400.0;2200:1400.0;2300:1400.0;2400:1400.0;2500:1400.0;2600:1400.0;2700:1400.0;2800:1400.0;2900:1400.0;3000:1400.0;3100:1400.0;3200:1400.0;3300:1400.0;3400:1400.0;3500:1400.0;3600:1400.0;3700:1400.0;3800:1400.0;3900:1400.0;4000:1400.0;4100:1400.0;4200:1400.0;4300:1400.0;4400:1400.0;4500:1400.0;4600:1400.0;4700:1400.0;4800:1400.0;4900:1400.0;5000:1400.0
F15,1572.504,2.516,0:464822717.2;100:38511.8;200:1780.6;300:1595.4;400:1585.6;500:1582.6;600:1582.2;700:1580.2;800:1579.6;900:1577.8;1000:1577.4;1100:1577.4;1200:1577.4;1300:1577.4;1400:1577.4;1500:1576.6;1600:1576.6;1700:1576.6;1800:1576.6;1900:1576.6;2000:1575.8;2100:1574.8;2200:1574.8;2300:1574.8;2400:1574.6;2500:1574.0;2600:1574.0;2700:1574.0;2800:1574.0;2900:1573.4;3000:1573.4;3100:1573.4;3200:1573.4;3300:1573.4;3400:1573.4;3500:1573.4;3600:1573.4;3700:1573.4;3800:1572.8;3900:1572.8;4000:1572.8;4100:1572.8;4200:1572.6;4300:1572.6;4400:1572.6;4500:1572.6;4600:1572.6;4700:1572.6;4800:1572.6;4900:1572.6;5000:1572.6
F16,1646.262,0.345,0:1648.8;100:1647.6;200:1647.4;300:1647.2;400:1647.0;500:1647.0;600:1647.0;700:1646.8;800:1646.8;900:1646.8;1000:1646.8;1100:1646.8;1200:1646.8;1300:1646.8;1400:1646.8;1500:1646.8;1600:1646.8;1700:1646.8;1800:1646.6;1900:1646.6;2000:1646.6;2100:1646.6;2200:1646.6;2300:1646.6;2400:1646.6;2500:1646.6;2600:1646.6;2700:1646.6;2800:1646.6;2900:1646.6;3000:1646.6;3100:1646.6;3200:1646.6;3300:1646.6;3400:1646.6;3500:1646.6;3600:1646.4;3700:1646.4;3800:1646.4;3900:1646.4;4000:1646.4;4100:1646.4;4200:1646.4;4300:1646.4;4400:1646.4;4500:1646.4;4600:1646.4;4700:1646.4;4800:1646.4;4900:1646.4;5000:1646.4
F17,861113.981,312219.821,0:4521281750.0;100:198359256.8;200:107008138.0;300:85980182.2;400:54196608.0;500:36448361.0;600:28943740.8;700:23982622.2;800:17521223.0;900:14085166.6;1000:12551567.6;1100:8988025.0;1200:8043328.2;1300:6926457.4;1400:6116251.8;1500:5533142.8;1600:5335627.0;1700:4414616.0;1800:4074064.6;1900:3644343.6;2000:3166425.8;2100:2948310.2;2200:2697445.2;2300:2586802.2;2400:2483208.0;2500:2329226.6;2600:2280971.4;2700:2206009.4;2800:2089937.0;2900:2036621.2;3000:1994977.6;3100:1942356.0;3200:1844993.2;3300:1795209.0;3400:1738721.6;3500:1655945.2;3600:1572447.2;3700:1504458.0;3800:1442922.0;3900:1405503.4;4000:1362141.6;4100:1317611.2;4200:1259651.0;4300:1217949.0;4400:1175729.8;4500:1103863.6;4600:1041139.4;4700:984953.8;4800:952602.4;4900:891550.2;5000:861114.0
F18,213744.065,21535.019,0:70981982002.0;100:2494753316.4;200:1274312661.0;300:815830887.2;400:484262640.8;500:300884096.6;600:208123906.2;700:151585983.0;800:96252697.8;900:69365559.0;1000:54005256.4;1100:36935349.4;1200:24342361.8;1300:19487719.6;1400:15300010.0;1500:11907301.8;1600:10883853.0;1700:6554894.2;1800:5700645.4;1900:3999212.4;2000:3055171.8;2100:2075795.6;2200:1542311.2;2300:1190460.4;2400:922893.6;2500:647470.8;2600:610035.6;2700:498611.4;2800:410876.4;2900:372408.8;3000:313538.8;3100:283860.4;3200:271497.2;3300:259099.2;3400:251561.8;3500:245157.6;3600:235777.4;3700:228162.4;3800:224218.4;3900:222472.2;4000:220931.8;4100:219841.4;4200:218229.4;4300:217528.2;4400:216676.2;4500:215407.8;4600:214825.0;4700:214415.0;4800:214095.6;4900:213866.8;5000:213743.8
F19,1978.549,5.481,0:76769767991.0;100:229060355.6;200:65504221.2;300:32029730.6;400:18937905.6;500:7681296.2;600:3596507.6;700:1781685.4;800:1114769.4;900:817329.0;1000:665349.2;1100:349226.8;1200:152938.0;1300:111226.0;1400:86534.0;1500:75478.2;1600:59539.4;1700:24900.6;1800:21739.8;1900:12445.0;2000:6591.8;2100:6138.2;2200:3914.6;2300:3740.4;2400:3053.4;2500:2652.8;2600:2630.8;2700:2578.8;2800:2421.2;2900:2353.0;3000:2291.6;3100:2285.2;3200:2218.2;3300:2158.6;3400:2103.2;3500:2074.6;3600:2049.2;3700:2030.2;3800:2021.4;3900:2015.2;4000:2010.6;4100:2006.6;4200:2004.0;4300:2001.0;4400:1996.4;4500:1991.4;4600:1989.2;4700:1986.4;4800:1982.4;4900:1979.6;5000:1978.6
F20,75138.058,44155.871,0:7.304056696787302e+17;100:1869942463024.4;200:153500769585.8;300:17874857215.8;400:7735121959.0;500:2851977906.8;600:630241570.4;700:119526321.6;800:100519209.6;900:58380012.2;1000:11688348.2;1100:10654533.6;1200:9667784.0;1300:5484795.6;1400:2215393.4;1500:1632097.8;1600:738945.2;1700:265194.8;1800:200965.2;1900:195448.4;2000:180922.6;2100:165312.2;2200:160419.2;2300:155734.0;2400:149915.0;2500:145305.2;2600:141585.4;2700:137433.4;2800:133530.4;2900:130558.8;3000:128307.2;3100:125508.6;3200:121822.2;3300:118715.2;3400:116071.2;3500:111840.2;3600:108325.8;3700:105138.0;3800:102087.8;3900:99563.4;4000:97390.4;4100:95013.0;4200:92571.4;4300:89799.8;4400:87709.4;4500:85741.6;4600:83940.2;4700:81449.0;4800:79396.4;4900:77021.2;5000:75137.8
F21,200527.378,64850.633,0:54800551484.4;100:47165494.4;200:16142720.6;300:10667804.4;400:7249526.8;500:5394430.8;600:4027637.0;700:3250661.0;800:2766062.0;900:2436975.2;1000:2053503.8;1100:1807550.6;1200:1614023.2;1300:1439690.4;1400:1225051.6;1500:1056230.2;1600:943824.4;1700:845699.0;1800:756587.4;1900:698362.6;2000:639730.0;2100:580612.4;2200:532181.0;2300:479824.6;2400:411489.8;2500:371757.4;2600:337706.6;2700:319185.2;2800:300567.2;2900:289163.4;3000:281672.4;3100:274974.2;3200:265652.6;3300:258204.2;3400:252704.6;3500:247769.8;3600:244216.8;3700:239988.8;3800:236760.8;3900:232636.4;4000:230290.2;4100:227337.0;4200:224141.8;4300:220491.4;4400:216777.6;4500:212636.6;4600:209955.4;4700:207482.8;4800:205174.6;4900:202585.0;5000:200527.4
F22,3271.08,607.097,0:4.7391595800117016e+16;100:11920.2;200:9425.4;300:8099.8;400:6769.2;500:5950.2;600:5228.8;700:4714.2;800:4374.6;900:4092.6;1000:3888.8;1100:3752.4;1200:3642.2;1300:3594.2;1400:3563.4;1500:3521.2;1600:3484.6;1700:3464.4;1800:3455.2;1900:3431.0;2000:3407.4;2100:3401.0;2200:3390.2;2300:3381.2;2400:3375.4;2500:3365.0;2600:3360.6;2700:3335.2;2800:3321.4;2900:3312.0;3000:3307.6;3100:3306.0;3200:3304.0;3300:3302.8;3400:3300.6;3500:3297.2;3600:3295.0;3700:3293.4;3800:3291.4;3900:3290.2;4000:3288.2;4100:3287.6;4200:3286.2;4300:3285.8;4400:3283.8;4500:3283.2;4600:3281.4;4700:3279.8;4800:3278.6;4900:3275.8;5000:3271.0
F23,2500.0,0.0,0:7277.8;100:2544.0;200:2523.4;300:2512.6;400:2505.8;500:2502.8;600:2501.0;700:2500.4;800:2500.0;900:2500.0;1000:2500.0;1100:2500.0;1200:2500.0;1300:2500.0;1400:2500.0;1500:2500.0;1600:2500.0;1700:2500.0;1800:2500.0;1900:2500.0;2000:2500.0;2100:2500.0;2200:2500.0;2300:2500.0;2400:2500.0;2500:2500.0;2600:2500.0;2700:2500.0;2800:2500.0;2900:2500.0;3000:2500.0;3100:2500.0;3200:2500.0;3300:2500.0;3400:2500.0;3500:2500.0;3600:2500.0;3700:2500.0;3800:2500.0;3900:2500.0;4000:2500.0;4100:2500.0;4200:2500.0;4300:2500.0;4400:2500.0;4500:2500.0;4600:2500.0;4700:2500.0;4800:2500.0;4900:2500.0;5000:2500.0
F24,2836.361,6.752,0:4185.6;100:2905.2;200:2858.2;300:2848.6;400:2842.6;500:2840.0;600:2838.6;700:2837.4;800:2836.4;900:2836.2;1000:2836.2;1100:2836.2;1200:2836.2;1300:2836.2;1400:2836.2;1500:2836.2;1600:2836.2;1700:2836.2;1800:2836.2;1900:2836.2;2000:2836.2;2100:2836.2;2200:2836.2;2300:2836.2;2400:2836.2;2500:2836.2;2600:2836.2;2700:2836.2;2800:2836.2;2900:2836.2;3000:2836.2;3100:2836.2;3200:2836.2;3300:2836.2;3400:2836.2;3500:2836.2;3600:2836.2;3700:2836.2;3800:2836.2;3900:2836.2;4000:2836.2;4100:2836.2;4200:2836.2;4300:2836.2;4400:2836.2;4500:2836.2;4600:2836.2;4700:2836.2;4800:2836.2;4900:2836.2;5000:2836.2
F25,2778.635,11.026,0:3914.2;100:2813.6;200:2787.0;300:2783.0;400:2780.6;500:2779.8;600:2779.4;700:2779.4;800:2779.4;900:2779.2;1000:2778.8;1100:2778.8;1200:2778.8;1300:2778.8;1400:2778.8;1500:2778.8;1600:2778.8;1700:2778.8;1800:2778.8;1900:2778.8;2000:2778.8;2100:2778.8;2200:2778.8;2300:2778.8;2400:2778.8;2500:2778.8;2600:2778.8;2700:2778.8;2800:2778.8;2900:2778.8;3000:2778.8;3100:2778.8;3200:2778.8;3300:2778.8;3400:2778.8;3500:2778.8;3600:2778.8;3700:2778.8;3800:2778.8;3900:2778.8;4000:2778.8;4100:2778.8;4200:2778.8;4300:2778.8;4400:2778.8;4500:2778.8;4600:2778.8;4700:2778.8;4800:2778.8;4900:2778.8;5000:2778.8
F26,2800.17,0.029,0:3988.8;100:2810.0;200:2803.6;300:2802.2;400:2801.6;500:2801.2;600:2801.0;700:2801.0;800:2801.0;900:2800.8;1000:2800.6;1100:2800.6;1200:2800.6;1300:2800.6;1400:2800.4;1500:2800.2;1600:2800.2;1700:2800.2;1800:2800.2;1900:2800.2;2000:2800.2;2100:2800.2;2200:2800.2;2300:2800.2;2400:2800.2;2500:2800.0;2600:2800.0;2700:2800.0;2800:2800.0;2900:2800.0;3000:2800.0;3100:2800.0;3200:2800.0;3300:2800.0;3400:2800.0;3500:2800.0;3600:2800.0;3700:2800.0;3800:2800.0;3900:2800.0;4000:2800.0;4100:2800.0;4200:2800.0;4300:2800.0;4400:2800.0;4500:2800.0;4600:2800.0;4700:2800.0;4800:2800.0;4900:2800.0;5000:2800.0
F27,4648.041,178.534,0:8867.4;100:5458.0;200:4838.6;300:4700.2;400:4662.6;500:4651.2;600:4649.0;700:4648.2;800:4648.0;900:4648.0;1000:4648.0;1100:4648.0;1200:4648.0;1300:4648.0;1400:4648.0;1500:4648.0;1600:4648.0;1700:4648.0;1800:4648.0;1900:4648.0;2000:4648.0;2100:4648.0;2200:4648.0;2300:4648.0;2400:4648.0;2500:4648.0;2600:4648.0;2700:4648.0;2800:4648.0;2900:4648.0;3000:4648.0;3100:4648.0;3200:4648.0;3300:4648.0;3400:4648.0;3500:4648.0;3600:4648.0;3700:4648.0;3800:4648.0;3900:4648.0;4000:4648.0;4100:4648.0;4200:4648.0;4300:4648.0;4400:4648.0;4500:4648.0;4600:4648.0;4700:4648.0;4800:4648.0;4900:4648.0;5000:4648.0
F28,6913.434,538.826,0:37709.0;100:10665.2;200:8135.2;300:7262.8;400:7051.6;500:6982.2;600:6950.2;700:6938.0;800:6928.8;900:6924.6;1000:6923.2;1100:6922.0;1200:6921.0;1300:6917.6;1400:6916.6;1500:6916.2;1600:6916.0;1700:6915.0;1800:6914.8;1900:6914.4;2000:6914.2;2100:6914.0;2200:6914.0;2300:6914.0;2400:6914.0;2500:6914.0;2600:6913.8;2700:6913.8;2800:6913.8;2900:6913.8;3000:6913.8;3100:6913.8;3200:6913.8;3300:6913.8;3400:6913.8;3500:6913.8;3600:6913.8;3700:6913.8;3800:6913.8;3900:6913.8;4000:6913.8;4100:6913.8;4200:6913.8;4300:6913.6;4400:6913.6;4500:6913.6;4600:6913.6;4700:6913.6;4800:6913.6;4900:6913.6;5000:6913.6
F29,52259.709,9403.833,0:38522447454.4;100:974454343.8;200:243128997.6;300:110611789.0;400:58717213.2;500:38818919.0;600:27881805.8;700:21467791.6;800:12181474.6;900:7885061.6;1000:5822545.2;1100:3827657.8;1200:2473698.8;1300:1652493.6;1400:1143158.8;1500:802968.2;1600:553776.8;1700:451053.0;1800:328615.6;1900:230103.6;2000:183591.0;2100:145224.0;2200:126580.8;2300:111093.8;2400:96161.8;2500:85543.4;2600:80244.8;2700:75723.0;2800:72606.8;2900:69899.6;3000:67483.2;3100:65579.2;3200:63502.8;3300:61955.8;3400:60580.0;3500:59415.0;3600:58594.0;3700:57826.8;3800:57262.2;3900:56725.4;4000:56274.8;4100:55794.8;4200:55237.0;4300:54528.2;4400:53978.6;4500:53617.4;4600:53346.2;4700:52992.8;4800:52724.4;4900:52510.4;5000:52259.6
F30,255133.375,78109.501,0:1.0451658209185194e+16;100:4309536140.8;200:562618868.8;300:108992795.2;400:36883500.6;500:21251969.6;600:11429227.2;700:7424685.0;800:5569557.2;900:4328237.6;1000:3439827.2;1100:2884153.2;1200:2374053.6;1300:2063653.0;1400:1784843.8;1500:1540214.8;1600:1372926.2;1700:1235934.0;1800:1110551.8;1900:982497.0;2000:891203.0;2100:822256.4;2200:758905.0;2300:698959.0;2400:636588.0;2500:592001.0;2600:558004.0;2700:532730.4;2800:511817.4;2900:496450.2;3000:477839.4;3100:463421.8;3200:445028.0;3300:432125.8;3400:415179.6;3500:397775.6;3600:384128.4;3700:365744.4;3800:351480.0;3900:340302.6;4000:330574.6;4100:323001.6;4200:315063.4;4300:305102.2;4400:295688.0;4500:289750.0;4600:284938.8;4700:278374.4;4800:271173.2;4900:262471.8;5000:255133.4
