Function,Mean,Std,Convergence
F17,100498.674,36004.129,0:719746063.2;100:747870.8;200:322774.6;300:266439.8;400:225168.4;500:207484.4;600:193089.6;700:184138.4;800:174400.4;900:167314.8;1000:161104.6;1100:156001.0;1200:150216.6;1300:145282.4;1400:140902.4;1500:137378.8;1600:134320.4;1700:130452.0;1800:125975.4;1900:121130.0;2000:117055.6;2100:113393.6;2200:108374.0;2300:105993.0;2400:103183.6;2500:100498.6
F18,132628.361,41264.043,0:19365511051.0;100:735283.0;200:163642.6;300:158472.6;400:155101.6;500:152272.4;600:150213.8;700:148861.6;800:147885.0;900:147211.4;1000:146366.2;1100:145834.0;1200:145481.4;1300:145201.4;1400:144735.4;1500:143907.4;1600:143107.0;1700:141797.4;1800:140063.0;1900:138111.6;2000:137122.4;2100:136473.4;2200:135937.4;2300:134960.2;2400:133922.6;2500:132628.4
F19,1973.166,58.353,0:21021137236.0;100:7011.4;200:2059.2;300:2018.2;400:1975.0;500:1973.2;600:1973.0;700:1973.0;800:1973.0;900:1973.0;1000:1973.0;1100:1973.0;1200:1973.0;1300:1973.0;1400:1973.0;1500:1973.0;1600:1973.0;1700:1973.0;1800:1973.0;1900:1973.0;2000:1973.0;2100:1973.0;2200:1973.0;2300:1973.0;2400:1973.0;2500:1973.0
F20,14518.876,9463.629,0:9321728356865628.0;100:180360.4;200:131670.0;300:105286.8;400:86287.6;500:71098.2;600:56570.6;700:48232.2;800:42498.4;900:37240.6;1000:33495.2;1100:30554.8;1200:28380.8;1300:25798.2;1400:23895.4;1500:23033.8;1600:22265.6;1700:21302.0;1800:20542.4;1900:19471.8;2000:17966.2;2100:16543.6;2200:15757.4;2300:15368.0;2400:14867.8;2500:14519.0
F21,20665.612,10687.258,0:5912926700.2;100:1474010.0;200:593419.0;300:282050.4;400:212917.8;500:167536.8;600:132936.0;700:107095.4;800:85105.0;900:76786.0;1000:64847.8;1100:54834.4;1200:46748.4;1300:43155.8;1400:39086.8;1500:35820.2;1600:33630.8;1700:31815.4;1800:29635.8;1900:27779.4;2000:26189.0;2100:24852.2;2200:23587.6;2300:22764.6;2400:21818.2;2500:20665.4
F22,2467.067,134.247,0:1963220899109127.2;100:4834.4;200:3868.6;300:3131.6;400:2731.0;500:2609.2;600:2559.0;700:2536.0;800:2515.6;900:2506.6;1000:2496.4;1100:2493.0;1200:2488.4;1300:2486.0;1400:2484.4;1500:2483.0;1600:2479.8;1700:2478.0;1800:2476.8;1900:2473.8;2000:2472.6;2100:2471.0;2200:2470.4;2300:2470.0;2400:2467.8;2500:2467.2
F23,2535.43,0.0,0:4261.2;100:2538.6;200:2535.8;300:2535.0;400:2535.0;500:2535.0;600:2535.0;700:2535.0;800:2535.0;900:2535.0;1000:2535.0;1100:2535.0;1200:2535.0;1300:2535.0;1400:2535.0;1500:2535.0;1600:2535.0;1700:2535.0;1800:2535.0;1900:2535.0;2000:2535.0;2100:2535.0;2200:2535.0;2300:2535.0;2400:2535.0;2500:2535.0
F24,2701.187,5.921,0:3279.2;100:2712.0;200:2701.6;300:2701.2;400:2701.2;500:2701.2;600:2701.2;700:2701.2;800:2701.2;900:2701.2;1000:2701.2;1100:2701.2;1200:2701.2;1300:2701.2;1400:2701.2;1500:2701.2;1600:2701.2;1700:2701.2;1800:2701.2;1900:2701.2;2000:2701.2;2100:2701.2;2200:2701.2;2300:2701.2;2400:2701.2;2500:2701.2
F25,2709.572,1.909,0:3153.2;100:2729.2;200:2716.0;300:2713.4;400:2711.6;500:2711.2;600:2710.8;700:2710.6;800:2710.2;900:2710.0;1000:2710.0;1100:2709.8;1200:2709.8;1300:2709.8;1400:2709.6;1500:2709.6;1600:2709.6;1700:2709.6;1800:2709.6;1900:2709.6;2000:2709.6;2100:2709.6;2200:2709.6;2300:2709.6;2400:2709.6;2500:2709.6
F26,2720.467,39.821,0:3147.4;100:2721.0;200:2721.0;300:2720.8;400:2720.6;500:2720.6;600:2720.6;700:2720.6;800:2720.6;900:2720.6;1000:2720.4;1100:2720.4;1200:2720.4;1300:2720.4;1400:2720.4;1500:2720.4;1600:2720.4;1700:2720.4;1800:2720.4;1900:2720.4;2000:2720.4;2100:2720.4;2200:2720.4;2300:2720.4;2400:2720.4;2500:2720.4
F27,3377.1,52.911,0:5532.2;100:3760.8;200:3466.2;300:3393.6;400:3380.6;500:3377.6;600:3377.4;700:3377.2;800:3377.2;900:3377.2;1000:3377.2;1100:3377.2;1200:3377.2;1300:3377.2;1400:3377.2;1500:3377.2;1600:3377.2;1700:3377.2;1800:3377.2;1900:3377.2;2000:3377.2;2100:3377.2;2200:3377.2;2300:3377.2;2400:3377.2;2500:3377.2
F28,4324.545,136.981,0:17788.0;100:5226.4;200:4413.8;300:4333.8;400:4326.6;500:4325.6;600:4325.0;700:4325.0;800:4325.0;900:4324.8;1000:4324.8;1100:4324.8;1200:4324.8;1300:4324.8;1400:4324.8;1500:4324.8;1600:4324.8;1700:4324.8;1800:4324.8;1900:4324.8;2000:4324.8;2100:4324.8;2200:4324.8;2300:4324.8;2400:4324.8;2500:4324.8
F29,22745.98,6681.545,0:10168920257.8;100:16960828.4;200:237744.4;300:65887.2;400:42187.6;500:38234.6;600:36947.8;700:35139.2;800:32443.6;900:31046.0;1000:29969.8;1100:28223.0;1200:27009.4;1300:26510.0;1400:24960.2;1500:23704.2;1600:23359.4;1700:23143.8;1800:23036.2;1900:22914.4;2000:22878.6;2100:22850.0;2200:22826.4;2300:22805.6;2400:22775.4;2500:22746.2
F30,37448.395,12743.054,0:160093064620945.97;100:75243633.4;200:6833794.6;300:2181159.4;400:1127668.6;500:853190.4;600:649981.8;700:432856.0;800:367985.8;900:313381.0;1000:189438.2;1100:168006.8;1200:146098.8;1300:135706.4;1400:126671.4;1500:119031.4;1600:112271.8;1700:106157.2;1800:88493.2;1900:73798.4;2000:57339.0;2100:48095.6;2200:43721.4;2300:41861.0;2400:38351.4;2500:37448.2
