Algorithm,Function,Mean,Std,Convergence
SaDE,F1,100.349,0.775,1:81895167063.613;100:709386719.923;200:2223035.412;300:24292.572;400:3797.893;500:2903.357;600:1736.701;700:941.139;800:642.243;900:327.719;1000:232.622;1100:146.008;1200:110.635;1300:102.847;1400:100.498;1500:100.349
SaDE,F2,200.0,0.0,1:47286926.12;100:26780.094;200:3311.766;300:305.425;400:201.232;500:200.01;600:200.0;700:200.0;800:200.0;900:200.0;1000:200.0;1100:200.0;1200:200.0;1300:200.0;1400:200.0;1500:200.0
SaDE,F3,315.155,17.921,1:35058.962;100:577.186;200:390.83;300:365.043;400:357.971;500:352.866;600:346.213;700:338.268;800:334.849;900:332.776;1000:331.171;1100:325.641;1200:320.721;1300:318.982;1400:316.138;1500:315.155
SaDE,F4,461.396,13.254,1:121343.499;100:1891.776;200:645.922;300:587.649;400:547.525;500:523.23;600:508.56;700:498.005;800:489.149;900:482.275;1000:475.879;1100:471.245;1200:467.512;1300:465.614;1400:463.832;1500:461.396
SaDE,F5,500.001,0.001,1:500.207;100:500.003;200:500.001;300:500.001;400:500.001;500:500.001;600:500.001;700:500.001;800:500.001;900:500.001;1000:500.001;1100:500.001;1200:500.001;1300:500.001;1400:500.001;1500:500.001
SaDE,F6,695.47,17.976,1:4007844.446;100:47460.55;200:1029.424;300:850.966;400:808.445;500:779.945;600:760.459;700:746.726;800:732.419;900:723.496;1000:716.786;1100:711.638;1200:706.352;1300:702.182;1400:699.071;1500:695.47
SaDE,F7,1159.401,13.74,1:1514.843;100:1162.968;200:1160.642;300:1160.348;400:1160.054;500:1159.888;600:1159.872;700:1159.869;800:1159.683;900:1159.671;1000:1159.671;1100:1159.669;1200:1159.668;1300:1159.464;1400:1159.414;1500:1159.401
SaDE,F8,810.793,0.69,1:859.326;100:811.914;200:810.925;300:810.811;400:810.795;500:810.793;600:810.793;700:810.793;800:810.793;900:810.793;1000:810.793;1100:810.793;1200:810.793;1300:810.793;1400:810.793;1500:810.793
SaDE,F9,4862.49,277.815,1:9505.376;100:5072.677;200:4881.765;300:4864.569;400:4862.979;500:4862.68;600:4862.566;700:4862.523;800:4862.506;900:4862.498;1000:4862.494;1100:4862.492;1200:4862.491;1300:4862.491;1400:4862.49;1500:4862.49
SaDE,F10,2421.893,2743.826,1:21570633804.878;100:129838.014;200:56052.875;300:33983.251;400:22443.783;500:15043.818;600:10124.279;700:7432.851;800:6266.7;900:5370.138;1000:4653.65;1100:3967.593;1200:3534.757;1300:3125.328;1400:2772.566;1500:2421.893
