Algorithm,Function,Mean,Std,Convergence
LSHADE,F11,12942.154,7746.389,1:33313049600.119;100:11744121.029;200:819083.593;300:176516.048;400:90180.058;500:52207.966;600:37836.24;700:28912.303;800:23360.496;900:19107.894;1000:17026.358;1100:16326.885;1200:15774.566;1300:15181.448;1400:14653.745;1500:14484.81;1600:14297.133;1700:14065.695;1800:13853.974;1900:13735.498;2000:13611.893;2100:13499.527;2200:13426.262;2300:13358.123;2400:13307.021;2500:13246.076;2600:13210.927;2700:13176.279;2800:13152.399;2900:13135.702;3000:13105.895;3100:13068.491;3200:13053.801;3300:13041.771;3400:13026.944;3500:13016.311;3600:13010.069;3700:13004.784;3800:12999.686;3900:12994.365;4000:12989.963;4100:12986.317;4200:12983.317;4300:12980.587;4400:12977.545;4500:12974.454;4600:12967.832;4700:12959.11;4800:12955.836;4900:12953.925;5000:12952.493;5100:12950.664;5200:12948.706;5300:12947.412;5400:12946.746;5500:12946.067;5600:12945.583;5700:12944.964;5800:12944.522;5900:12943.958;6000:12943.366;6100:12943.009;6200:12942.899;6300:12942.784;6400:12942.693;6500:12942.633;6600:12942.579;6700:12942.511;6800:12942.449;6900:12942.295;7000:12942.265;7100:12942.246;7200:12942.23;7300:12942.219;7400:12942.208;7500:12942.195;7600:12942.188;7700:12942.186;7800:12942.179;7900:12942.178;8000:12942.171;8100:12942.166;8200:12942.164;8300:12942.162
LSHADE,F12,11667.3,8502.138,1:138283059333.607;100:2823315.477;200:147487.236;300:43314.825;400:20873.255;500:13511.86;600:11980.083;700:11866.911;800:11838.74;900:11816.733;1000:11806.617;1100:11794.658;1200:11785.882;1300:11776.741;1400:11770.364;1500:11764.72;1600:11758.412;1700:11752.723;1800:11748.061;1900:11744.782;2000:11740.261;2100:11734.224;2200:11728.085;2300:11723.754;2400:11719.181;2500:11716.105;2600:11714.192;2700:11711.855;2800:11708.823;2900:11706.149;3000:11703.754;3100:11701.561;3200:11700.031;3300:11698.166;3400:11696.803;3500:11695.474;3600:11694.029;3700:11692.433;3800:11691.472;3900:11689.818;4000:11688.84;4100:11687.828;4200:11686.772;4300:11685.564;4400:11684.839;4500:11684.209;4600:11683.611;4700:11683.063;4800:11682.235;4900:11681.576;5000:11681.157;5100:11680.353;5200:11679.827;5300:11679.163;5400:11678.675;5500:11677.291;5600:11675.578;5700:11674.782;5800:11674.258;5900:11673.747;6000:11673.458;6100:11672.881;6200:11672.531;6300:11671.837;6400:11671.391;6500:11670.939;6600:11670.268;6700:11669.922;6800:11669.647;6900:11669.377;7000:11669.268;7100:11669.12;7200:11668.989;7300:11668.833;7400:11668.68;7500:11668.467;7600:11668.349;7700:11668.213;7800:11668.143;7900:11667.984;8000:11667.894;8100:11667.702;8200:11667.599;8300:11667.486
LSHADE,F13,11375.07,8034.334,1:4338276709.646;100:112761746.389;200:93102763.704;300:86869243.697;400:84674132.118;500:79467057.495;600:77042473.958;700:66721178.017;800:57012432.598;900:49409036.39;1000:36138297.773;1100:29607641.681;1200:26106161.001;1300:21465467.373;1400:19664894.138;1500:15664635.7;1600:12664334.119;1700:9663540.793;1800:6671196.151;1900:4660688.708;2000:3560475.458;2100:2960325.929;2200:2660192.122;2300:2259509.67;2400:1959803.618;2500:1659642.921;2600:1152408.935;2700:904945.652;2800:821155.395;2900:724579.113;3000:675847.971;3100:625011.949;3200:584553.269;3300:543627.178;3400:482906.442;3500:412389.919;3600:328317.117;3700:275571.814;3800:241486.706;3900:214060.152;4000:184050.175;4100:175470.765;4200:165449.59;4300:153807.838;4400:139379.249;4500:119256.518;4600:103913.188;4700:82805.59;4800:64215.838;4900:56306.452;5000:54414.375;5100:43870.925;5200:41415.891;5300:38381.406;5400:36459.528;5500:33359.307;5600:32262.298;5700:28279.994;5800:25871.287;5900:24556.506;6000:23849.898;6100:21243.853;6200:18938.645;6300:18235.222;6400:16849.545;6500:14826.12;6600:14223.501;6700:13984.1;6800:13871.615;6900:13839.429;7000:13827.929;7100:13805.102;7200:12515.178;7300:12422.838;7400:12382.621;7500:12180.653;7600:11878.23;7700:11787.912;7800:11761.935;7900:11615.362;8000:11399.232;8100:11391.66;8200:11383.52;8300:11375.07
LSHADE,F14,8184.187,3085.8,1:49537228951.537;100:901883953.533;200:570498.28;300:35775.244;400:24401.015;500:19895.544;600:16751.044;700:15121.051;800:14349.682;900:13833.077;1000:13283.358;1100:12629.587;1200:12113.564;1300:11606.615;1400:11315.857;1500:11034.309;1600:10807.997;1700:10510.862;1800:10315.337;1900:10073.916;2000:9876.258;2100:9757.264;2200:9640.582;2300:9503.17;2400:9375.351;2500:9286.751;2600:9183.576;2700:9086.646;2800:9025.218;2900:8950.673;3000:8885.427;3100:8814.659;3200:8751.557;3300:8684.825;3400:8612.209;3500:8568.446;3600:8513.166;3700:8474.684;3800:8421.652;3900:8389.768;4000:8363.106;4100:8349.833;4200:8333.02;4300:8321.344;4400:8310.599;4500:8302.826;4600:8292.706;4700:8283.986;4800:8273.439;4900:8257.633;5000:8249.308;5100:8243.61;5200:8228.438;5300:8215.735;5400:8212.535;5500:8210.161;5600:8206.434;5700:8200.479;5800:8199.804;5900:8197.057;6000:8190.555;6100:8187.934;6200:8187.577;6300:8187.223;6400:8186.487;6500:8186.202;6600:8185.874;6700:8185.631;6800:8185.515;6900:8185.375;7000:8184.767;7100:8184.653;7200:8184.377;7300:8184.254;7400:8184.238;7500:8184.233;7600:8184.232;7700:8184.23;7800:8184.23;7900:8184.215;8000:8184.2;8100:8184.188;8200:8184.188;8300:8184.188
LSHADE,F15,1940.252,359.702,1:22658622894.887;100:3957521123.456;200:1849859876.543;300:1146821234.567;400:744367789.012;500:554201345.678;600:417531654.321;700:335782123.456;800:264462876.543;900:215104234.567;1000:177124789.012;1100:149367345.678;1200:125451654.321;1300:107756123.456;1400:91499876.543;1500:78524234.567;1600:67419789.012;1700:58217345.678;1800:50257654.321;1900:43613123.456;2000:37846876.543;2100:33752234.567;2200:28799789.012;2300:25242345.678;2400:22075654.321;2500:19464123.456;2600:17042876.543;2700:15117234.567;2800:13382789.012;2900:11943345.678;3000:10531654.321;3100:9450123.456;3200:8449876.543;3300:7580234.567;3400:6819789.012;3500:6150345.678;3600:5559654.321;3700:5040123.456;3800:4579876.543;3900:4170234.567;4000:3809789.012;4100:3490345.678;4200:3209654.321;4300:2960123.456;4400:2739876.543;4500:2540234.567;4600:2359789.012;4700:2200345.678;4800:2059654.321;4900:1930123.456;5000:1809876.543;5100:1743234.567;5200:1562789.012;5300:1510345.678;5400:1429654.321;5500:1350123.456;5600:1279876.543;5700:1220234.567;5800:1159789.012;5900:1120345.678;6000:1059654.321;6100:94985.876;6200:24785.543;6300:13447.876;6400:7156.543;6500:5017.876;6600:4457.543;6700:4087.876;6800:3756.543;6900:3549.876;7000:3349.543;7100:3179.876;7200:3029.543;7300:2884.876;7400:2779.543;7500:2665.876;7600:2569.543;7700:2479.876;7800:2352.543;7900:2316.876;8000:2243.543;8100:2171.876;8200:2052.543;8300:1940.252
LSHADE,F16,2082.243,397.364,1:451729283412851.4;100:18532.241;200:4361.624;300:2845.498;400:2471.015;500:2404.182;600:2315.544;700:2236.744;800:2194.345;900:2164.999;1000:2151.602;1100:2143.263;1200:2137.507;1300:2133.955;1400:2129.579;1500:2127.518;1600:2124.426;1700:2121.719;1800:2119.216;1900:2115.491;2000:2113.491;2100:2110.062;2200:2108.557;2300:2107.207;2400:2106.325;2500:2105.711;2600:2104.45;2700:2103.91;2800:2103.016;2900:2102.63;3000:2101.386;3100:2099.516;3200:2098.13;3300:2096.532;3400:2095.997;3500:2094.463;3600:2093.562;3700:2093.417;3800:2092.898;3900:2092.287;4000:2091.991;4100:2091.632;4200:2091.258;4300:2090.866;4400:2090.288;4500:2089.731;4600:2088.893;4700:2088.594;4800:2088.219;4900:2087.799;5000:2087.458;5100:2086.932;5200:2086.574;5300:2086.17;5400:2085.962;5500:2085.547;5600:2085.405;5700:2085.318;5800:2085.171;5900:2085.046;6000:2084.849;6100:2084.66;6200:2084.495;6300:2084.285;6400:2084.252;6500:2084.167;6600:2084.104;6700:2083.92;6800:2083.9;6900:2083.87;7000:2083.764;7100:2083.649;7200:2083.492;7300:2083.4;7400:2083.341;7500:2083.238;7600:2083.161;7700:2083.127;7800:2082.626;7900:2082.477;8000:2082.424;8100:2082.358;8200:2082.318;8300:2082.273
LSHADE,F17,16173.644,9702.408,1:6321104774.43;100:14922173.235;200:11802712.984;300:8209085.759;400:8195907.946;500:7941682.069;600:6623966.273;700:902155.408;800:40034.333;900:34757.418;1000:31834.568;1100:29796.709;1200:27985.566;1300:27026.115;1400:26264.706;1500:25451.308;1600:25048.967;1700:24491.465;1800:23097.663;1900:22295.206;2000:21637.141;2100:21098.618;2200:20618.35;2300:20137.862;2400:20053.584;2500:19876.865;2600:19587.564;2700:19479.899;2800:19375.785;2900:19197.303;3000:18893.006;3100:18707.77;3200:18225.283;3300:18003.792;3400:17862.415;3500:17771.467;3600:17628.671;3700:17544.514;3800:17423.34;3900:17272.181;4000:17124.616;4100:17033.521;4200:16915.712;4300:16762.605;4400:16713.651;4500:16688.035;4600:16545.926;4700:16508.845;4800:16473.143;4900:16458.428;5000:16437.06;5100:16421.764;5200:16416.458;5300:16407.941;5400:16397.527;5500:16388.432;5600:16377.009;5700:16371.133;5800:16367.563;5900:16361.623;6000:16352.419;6100:16347.314;6200:16344.234;6300:16338.756;6400:16336.376;6500:16335.814;6600:16334.83;6700:16334.073;6800:16333.454;6900:16332.907;7000:16332.736;7100:16324.994;7200:16317.031;7300:16179.709;7400:16177.437;7500:16176.894;7600:16176.103;7700:16175.602;7800:16175.545;7900:16175.503;8000:16175.435;8100:16175.33;8200:16175.251;8300:16173.675
LSHADE,F18,2124.672,403.075,1:9.959026420696604e+17;100:65054849230628.83;200:7667497894978.489;300:7667408664660.908;400:16084.478;500:3769.651;600:2342.694;700:2198.619;800:2167.407;900:2158.74;1000:2155.395;1100:2152.824;1200:2150.699;1300:2149.8;1400:2147.408;1500:2146.136;1600:2144.603;1700:2143.076;1800:2142.397;1900:2141.752;2000:2140.792;2100:2140.144;2200:2139.71;2300:2138.388;2400:2137.903;2500:2137.005;2600:2136.25;2700:2136.074;2800:2135.504;2900:2134.123;3000:2133.657;3100:2133.245;3200:2132.473;3300:2132.404;3400:2132.19;3500:2131.5;3600:2130.524;3700:2130.331;3800:2129.192;3900:2129.049;4000:2128.866;4100:2128.629;4200:2128.46;4300:2128.281;4400:2128.176;4500:2128.005;4600:2127.903;4700:2127.753;4800:2127.553;4900:2127.381;5000:2127.3;5100:2127.219;5200:2127.139;5300:2127.074;5400:2126.947;5500:2126.91;5600:2126.764;5700:2126.711;5800:2126.666;5900:2126.256;6000:2126.203;6100:2126.114;6200:2125.949;6300:2125.83;6400:2125.707;6500:2125.625;6600:2125.574;6700:2125.477;6800:2125.387;6900:2125.232;7000:2125.19;7100:2125.173;7200:2125.109;7300:2125.064;7400:2124.985;7500:2124.966;7600:2124.946;7700:2124.93;7800:2124.911;7900:2124.894;8000:2124.887;8100:2124.833;8200:2124.821;8300:2124.683
LSHADE,F19,2027.816,103.082,1:29070.081;100:2278.06;200:2115.998;300:2088.746;400:2075.885;500:2068.693;600:2064.488;700:2060.728;800:2057.557;900:2054.546;1000:2051.585;1100:2048.934;1200:2045.893;1300:2044.062;1400:2042.391;1500:2041.091;1600:2039.952;1700:2039.049;1800:2038.155;1900:2037.549;2000:2037.07;2100:2036.66;2200:2035.994;2300:2035.673;2400:2034.89;2500:2034.317;2600:2034.045;2700:2033.644;2800:2033.03;2900:2032.425;3000:2032.112;3100:2031.735;3200:2031.584;3300:2031.414;3400:2031.187;3500:2031.063;3600:2030.725;3700:2030.435;3800:2030.259;3900:2030.104;4000:2030.047;4100:2029.906;4200:2029.772;4300:2029.633;4400:2029.45;4500:2029.356;4600:2029.233;4700:2029.128;4800:2029.09;4900:2029.021;5000:2028.979;5100:2028.945;5200:2028.837;5300:2028.746;5400:2028.669;5500:2028.598;5600:2028.581;5700:2028.539;5800:2028.494;5900:2028.471;6000:2028.413;6100:2028.359;6200:2028.296;6300:2028.286;6400:2028.229;6500:2028.206;6600:2028.189;6700:2028.175;6800:2028.144;6900:2028.133;7000:2028.116;7100:2028.093;7200:2028.057;7300:2028.036;7400:2028.029;7500:2028.0;7600:2027.977;7700:2027.936;7800:2027.919;7900:2027.911;8000:2027.896;8100:2027.861;8200:2027.837;8300:2027.826
LSHADE,F20,2188.581,110.01,1:104813.443;100:4223.422;200:2816.048;300:2409.345;400:2307.471;500:2279.004;600:2262.802;700:2255.44;800:2243.24;900:2235.849;1000:2230.975;1100:2227.515;1200:2223.753;1300:2220.101;1400:2216.055;1500:2213.999;1600:2211.581;1700:2210.162;1800:2208.5;1900:2206.929;2000:2205.825;2100:2204.798;2200:2203.896;2300:2203.143;2400:2202.627;2500:2201.805;2600:2200.697;2700:2200.026;2800:2199.571;2900:2198.988;3000:2198.367;3100:2198.01;3200:2197.491;3300:2197.169;3400:2196.77;3500:2196.63;3600:2196.534;3700:2196.408;3800:2196.143;3900:2196.003;4000:2195.395;4100:2195.258;4200:2195.091;4300:2194.889;4400:2194.807;4500:2194.732;4600:2194.485;4700:2194.345;4800:2194.214;4900:2194.152;5000:2194.034;5100:2193.959;5200:2193.902;5300:2193.79;5400:2193.736;5500:2193.146;5600:2192.919;5700:2191.934;5800:2191.07;5900:2190.89;6000:2190.278;6100:2190.052;6200:2189.832;6300:2189.762;6400:2189.657;6500:2189.4;6600:2189.34;6700:2189.216;6800:2189.176;6900:2189.142;7000:2189.106;7100:2189.059;7200:2189.024;7300:2189.008;7400:2188.873;7500:2188.854;7600:2188.817;7700:2188.757;7800:2188.721;7900:2188.702;8000:2188.702;8100:2188.657;8200:2188.627;8300:2188.613
