Algorithm,Function,Mean,Std,Convergence
LSHADE,F11,71289.21,42889.007,1:261523385349.42;100:2282524115.741;200:194208755.556;300:45931767.906;400:16563474.16;500:7805982.007;600:4410687.459;700:2793080.932;800:1745363.679;900:1114704.821;1000:827047.983;1100:665651.087;1200:559580.505;1300:474959.457;1400:400523.181;1500:350394.229;1600:315551.937;1700:289000.049;1800:265095.45;1900:240382.167;2000:220453.96;2100:202468.09;2200:190826.575;2300:182271.453;2400:172109.641;2500:163628.552;2600:156970.784;2700:151103.884;2800:145931.09;2900:139818.81;3000:135236.153;3100:131566.224;3200:127921.39;3300:124442.807;3400:121482.454;3500:118824.238;3600:116655.711;3700:114571.747;3800:112676.216;3900:110245.684;4000:108113.194;4100:106313.079;4200:104479.889;4300:102741.554;4400:101210.357;4500:99882.452;4600:98626.763;4700:97485.98;4800:96227.899;4900:95017.142;5000:93994.207;5100:93178.273;5200:92325.171;5300:91270.932;5400:90279.611;5500:89460.715;5600:88543.485;5700:87911.454;5800:87108.58;5900:86336.609;6000:85603.651;6100:84986.386;6200:84377.888;6300:83832.461;6400:83318.852;6500:82836.398;6600:82398.933;6700:81955.028;6800:81497.47;6900:81103.118;7000:80534.541;7100:79973.17;7200:79359.74;7300:78870.794;7400:78263.121;7500:77844.824;7600:77511.368;7700:77183.446;7800:76835.593;7900:76459.652;8000:76100.066;8100:75796.015;8200:75516.702;8300:75258.548;8400:74973.75;8500:74659.365;8600:74405.181;8700:74249.527;8800:74114.194;8900:73986.555;9000:73859.146;9100:73674.013;9200:73583.472;9300:73456.696;9400:73321.916;9500:73210.754;9600:73021.608;9700:72902.075;9800:72793.193;9900:72716.169;10000:72609.183;10100:72509.253;10200:72433.692;10300:72358.909;10400:72251.452;10500:72158.042;10600:72099.868;10700:72037.057;10800:71971.262;10900:71904.29;11000:71821.177;11100:71770.665;11200:71738.691;11300:71702.209;11400:71676.581;11500:71652.459;11600:71637.344;11700:71616.286;11800:71598.147;11900:71570.588;12000:71539.95;12100:71476.809;12200:71442.563;12300:71423.71;12400:71417.001;12500:71407.611;12600:71398.935;12700:71394.735;12800:71391.464;12900:71381.622;13000:71374.245;13100:71365.741;13200:71349.645;13300:71340.56;13400:71338.181;13500:71331.903;13600:71329.363;13700:71325.952;13800:71321.696;13900:71315.295;14000:71313.281;14100:71310.836;14200:71308.832;14300:71308.367;14400:71307.885;14500:71307.32;14600:71306.919;14700:71306.336;14800:71305.403;14900:71304.762;15000:71301.915;15100:71294.346;15200:71293.515;15300:71293.156;15400:71292.879;15500:71292.765;15600:71291.119;15700:71289.989;15800:71289.942;15900:71289.694;16000:71289.621;16100:71289.43;16200:71289.355;16300:71289.346;16400:71289.339;16500:71289.312;16600:71289.301;16700:71289.227
LSHADE,F12,16429.96,10235.527,1:533319315110.227;100:2733804217.199;200:73697013.917;300:4698636.812;400:845495.095;500:369105.898;600:218637.827;700:140670.081;800:96644.559;900:64441.846;1000:44619.52;1100:34025.026;1200:27768.58;1300:24190.228;1400:20065.095;1500:17809.708;1600:17224.366;1700:17008.156;1800:16907.42;1900:16819.337;2000:16749.122;2100:16686.697;2200:16635.218;2300:16609.345;2400:16587.119;2500:16573.026;2600:16558.856;2700:16546.433;2800:16536.171;2900:16527.458;3000:16520.988;3100:16515.837;3200:16509.124;3300:16504.059;3400:16497.59;3500:16494.669;3600:16491.96;3700:16489.534;3800:16486.585;3900:16482.094;4000:16478.136;4100:16474.625;4200:16472.234;4300:16470.03;4400:16468.421;4500:16466.956;4600:16465.4;4700:16463.306;4800:16461.062;4900:16457.956;5000:16457.044;5100:16455.318;5200:16454.577;5300:16454.252;5400:16453.988;5500:16453.11;5600:16452.648;5700:16452.205;5800:16451.482;5900:16450.599;6000:16450.114;6100:16449.807;6200:16449.552;6300:16449.063;6400:16448.422;6500:16448.02;6600:16447.444;6700:16446.992;6800:16446.437;6900:16446.034;7000:16445.591;7100:16445.209;7200:16444.792;7300:16444.53;7400:16443.65;7500:16443.128;7600:16442.645;7700:16442.581;7800:16442.418;7900:16442.354;8000:16441.948;8100:16441.722;8200:16441.571;8300:16441.46;8400:16441.357;8500:16441.172;8600:16441.055;8700:16440.998;8800:16440.615;8900:16440.554;9000:16440.391;9100:16440.158;9200:16439.989;9300:16439.876;9400:16439.492;9500:16439.412;9600:16439.2;9700:16439.09;9800:16438.824;9900:16438.629;10000:16438.233;10100:16438.064;10200:16437.799;10300:16437.598;10400:16437.341;10500:16437.236;10600:16436.934;10700:16436.694;10800:16436.425;10900:16436.213;11000:16436.034;11100:16435.858;11200:16435.521;11300:16435.131;11400:16435.078;11500:16434.904;11600:16434.777;11700:16434.512;11800:16434.454;11900:16434.253;12000:16434.163;12100:16434.116;12200:16434.015;12300:16433.916;12400:16433.768;12500:16433.671;12600:16433.259;12700:16433.178;12800:16433.088;12900:16433.019;13000:16432.904;13100:16432.761;13200:16432.557;13300:16432.535;13400:16432.451;13500:16432.29;13600:16432.097;13700:16431.969;13800:16431.83;13900:16431.76;14000:16431.634;14100:16431.55;14200:16431.474;14300:16431.426;14400:16431.36;14500:16431.3;14600:16431.235;14700:16431.151;14800:16431.105;14900:16431.026;15000:16430.989;15100:16430.95;15200:16430.914;15300:16430.728;15400:16430.627;15500:16430.564;15600:16430.507;15700:16430.45;15800:16430.324;15900:16430.319;16000:16430.281;16100:16430.231;16200:16430.177;16300:16430.158;16400:16430.127;16500:16430.109;16600:16430.094;16700:16429.99
LSHADE,F13,68509.717,59962.967,1:3731825389.287;100:37772486.115;200:17731428.255;300:16497454.476;400:8932045.692;500:8899606.12;600:6548714.178;700:6532844.476;800:5870543.476;900:111062.822;1000:98328.088;1100:92654.198;1200:87387.611;1300:83563.191;1400:82155.214;1500:81131.397;1600:79526.508;1700:78321.647;1800:77566.248;1900:76765.157;2000:76117.922;2100:75704.636;2200:75154.611;2300:74294.109;2400:74033.54;2500:73753.547;2600:73386.439;2700:72635.209;2800:71967.555;2900:71537.463;3000:71373.645;3100:71243.553;3200:71122.605;3300:71033.784;3400:70945.189;3500:70878.104;3600:70821.009;3700:70733.28;3800:70665.827;3900:70593.26;4000:70520.289;4100:70445.354;4200:70369.05;4300:70303.686;4400:70240.684;4500:70179.347;4600:70133.608;4700:70071.686;4800:70023.729;4900:69942.195;5000:69880.062;5100:69830.442;5200:69775.826;5300:69723.582;5400:69681.478;5500:69633.815;5600:69577.889;5700:69541.219;5800:69502.702;5900:69458.269;6000:69416.394;6100:69374.266;6200:69343.538;6300:69316.92;6400:69285.606;6500:69209.771;6600:69188.685;6700:69168.074;6800:69146.09;6900:69102.969;7000:69082.298;7100:69061.629;7200:69039.593;7300:69017.861;7400:68996.639;7500:68975.461;7600:68960.493;7700:68936.279;7800:68900.762;7900:68873.845;8000:68858.406;8100:68845.45;8200:68832.231;8300:68816.19;8400:68794.245;8500:68778.998;8600:68762.88;8700:68749.806;8800:68737.211;8900:68722.677;9000:68705.803;9100:68694.63;9200:68681.538;9300:68671.231;9400:68663.854;9500:68657.229;9600:68652.839;9700:68646.631;9800:68632.633;9900:68627.855;10000:68621.435;10100:68615.384;10200:68610.568;10300:68606.018;10400:68601.623;10500:68598.437;10600:68595.563;10700:68592.328;10800:68586.651;10900:68581.59;11000:68577.209;11100:68573.749;11200:68556.134;11300:68549.988;11400:68546.355;11500:68543.693;11600:68541.54;11700:68539.503;11800:68536.631;11900:68534.542;12000:68532.379;12100:68531.322;12200:68529.49;12300:68528.12;12400:68525.467;12500:68524.992;12600:68524.679;12700:68523.782;12800:68523.171;12900:68522.678;13000:68521.991;13100:68521.035;13200:68519.738;13300:68518.946;13400:68517.881;13500:68516.834;13600:68516.237;13700:68515.736;13800:68515.254;13900:68514.89;14000:68514.165;14100:68513.769;14200:68512.984;14300:68512.769;14400:68512.701;14500:68512.643;14600:68512.29;14700:68512.155;14800:68512.058;14900:68511.845;15000:68511.589;15100:68511.501;15200:68511.458;15300:68511.413;15400:68511.309;15500:68511.012;15600:68510.942;15700:68510.931;15800:68510.758;15900:68510.586;16000:68510.389;16100:68510.143;16200:68510.12;16300:68510.115;16400:68510.05;16500:68509.971;16600:68509.943;16700:68509.737
LSHADE,F14,13184.271,3576.827,1:80338998429.366;100:96620364.101;200:1258022.612;300:184278.482;400:98912.091;500:60324.699;600:43621.897;700:34248.387;800:28939.288;900:27634.239;1000:27043.871;1100:26679.596;1200:26325.498;1300:25950.173;1400:25440.801;1500:23270.475;1600:21917.819;1700:21568.884;1800:21225.829;1900:20877.746;2000:20495.739;2100:20142.648;2200:19884.762;2300:19639.242;2400:19416.145;2500:19148.671;2600:18935.815;2700:18752.92;2800:18581.16;2900:18392.211;3000:18182.159;3100:17964.106;3200:17756.785;3300:17570.738;3400:17425.355;3500:17271.181;3600:17119.973;3700:17023.802;3800:16885.313;3900:16689.357;4000:16550.512;4100:16406.13;4200:16261.142;4300:16147.642;4400:16019.267;4500:15883.665;4600:15770.38;4700:15679.763;4800:15605.084;4900:15503.171;5000:15411.698;5100:15327.626;5200:15248.028;5300:15172.524;5400:15059.837;5500:14998.388;5600:14938.348;5700:14855.979;5800:14787.442;5900:14724.134;6000:14662.314;6100:14595.245;6200:14549.254;6300:14489.739;6400:14425.737;6500:14359.271;6600:14273.562;6700:14219.538;6800:14168.574;6900:14118.118;7000:14070.325;7100:14024.756;7200:13980.024;7300:13951.393;7400:13928.34;7500:13906.841;7600:13880.948;7700:13849.155;7800:13820.702;7900:13798.78;8000:13760.567;8100:13714.217;8200:13678.729;8300:13653.154;8400:13629.844;8500:13598.592;8600:13579.977;8700:13564.826;8800:13544.349;8900:13530.097;9000:13515.302;9100:13500.316;9200:13481.702;9300:13470.128;9400:13462.427;9500:13450.24;9600:13440.876;9700:13432.785;9800:13422.131;9900:13414.151;10000:13406.235;10100:13401.409;10200:13394.914;10300:13386.863;10400:13379.577;10500:13370.522;10600:13361.638;10700:13346.71;10800:13332.523;10900:13323.27;11000:13310.63;11100:13302.073;11200:13288.813;11300:13283.351;11400:13276.936;11500:13272.998;11600:13268.127;11700:13261.329;11800:13256.825;11900:13254.356;12000:13251.325;12100:13249.337;12200:13247.468;12300:13244.395;12400:13238.692;12500:13236.799;12600:13230.148;12700:13227.018;12800:13222.032;12900:13218.358;13000:13213.837;13100:13212.307;13200:13209.934;13300:13207.892;13400:13203.483;13500:13202.942;13600:13202.531;13700:13202.301;13800:13201.576;13900:13199.716;14000:13196.649;14100:13196.157;14200:13194.857;14300:13191.852;14400:13189.509;14500:13189.084;14600:13187.671;14700:13187.597;14800:13187.262;14900:13186.89;15000:13186.303;15100:13186.169;15200:13185.258;15300:13185.212;15400:13185.085;15500:13184.61;15600:13184.564;15700:13184.332;15800:13184.308;15900:13184.282;16000:13184.272;16100:13184.272;16200:13184.271;16300:13184.271;16400:13184.271;16500:13184.271;16600:13184.271;16700:13184.271
LSHADE,F15,3755.134,2724.558,1:31212185848.454;100:107857.458;200:19120.694;300:8117.412;400:6175.405;500:5544.613;600:5290.16;700:5180.854;800:5094.824;900:5039.01;1000:4978.553;1100:4935.233;1200:4903.792;1300:4874.149;1400:4834.321;1500:4786.417;1600:4751.818;1700:4726.717;1800:4698.504;1900:4654.652;2000:4608.49;2100:4576.382;2200:4553.024;2300:4525.306;2400:4482.616;2500:4450.532;2600:4419.372;2700:4393.408;2800:4364.88;2900:4338.341;3000:4303.658;3100:4281.79;3200:4257.533;3300:4242.657;3400:4225.867;3500:4208.372;3600:4193.041;3700:4180.969;3800:4159.128;3900:4140.867;4000:4134.073;4100:4128.22;4200:4118.982;4300:4113.795;4400:4100.785;4500:4080.713;4600:4054.517;4700:4037.123;4800:4023.53;4900:4009.286;5000:3996.322;5100:3986.732;5200:3976.891;5300:3967.011;5400:3957.918;5500:3949.331;5600:3940.981;5700:3932.36;5800:3927.801;5900:3918.987;6000:3911.993;6100:3906.103;6200:3895.063;6300:3889.374;6400:3882.893;6500:3875.434;6600:3867.572;6700:3854.388;6800:3843.528;6900:3833.354;7000:3827.714;7100:3824.684;7200:3822.011;7300:3819.561;7400:3816.433;7500:3813.397;7600:3810.047;7700:3808.77;7800:3807.823;7900:3806.326;8000:3804.981;8100:3803.411;8200:3798.409;8300:3795.18;8400:3793.862;8500:3791.912;8600:3789.033;8700:3785.741;8800:3783.849;8900:3782.813;9000:3779.748;9100:3778.548;9200:3777.956;9300:3777.507;9400:3776.996;9500:3776.33;9600:3773.958;9700:3773.098;9800:3772.575;9900:3771.756;10000:3771.249;10100:3771.141;10200:3770.744;10300:3770.166;10400:3768.775;10500:3768.025;10600:3767.005;10700:3766.326;10800:3765.813;10900:3765.202;11000:3764.935;11100:3763.846;11200:3762.992;11300:3761.474;11400:3759.437;11500:3758.92;11600:3758.517;11700:3758.173;11800:3757.609;11900:3757.465;12000:3757.381;12100:3757.208;12200:3757.153;12300:3757.094;12400:3756.528;12500:3756.289;12600:3756.224;12700:3756.157;12800:3756.144;12900:3756.136;13000:3756.123;13100:3756.087;13200:3756.047;13300:3755.837;13400:3755.592;13500:3755.332;13600:3755.174;13700:3755.148;13800:3755.146;13900:3755.144;14000:3755.141;14100:3755.14;14200:3755.14;14300:3755.14;14400:3755.138;14500:3755.137;14600:3755.137;14700:3755.137;14800:3755.137;14900:3755.137;15000:3755.137;15100:3755.137;15200:3755.136;15300:3755.135;15400:3755.135;15500:3755.135;15600:3755.135;15700:3755.135;15800:3755.135;15900:3755.135;16000:3755.135;16100:3755.134;16200:3755.134;16300:3755.134;16400:3755.134;16500:3755.134;16600:3755.134;16700:3755.134
LSHADE,F16,3780.422,1598.825,1:6.238779330340146e+16;100:102903.039;200:45820.961;300:18960.649;400:9727.591;500:6515.27;600:5726.59;700:5510.599;800:5385.986;900:5302.572;1000:5201.333;1100:5076.408;1200:4853.689;1300:4693.475;1400:4523.143;1500:4390.832;1600:4192.566;1700:4104.284;1800:4031.294;1900:3985.061;2000:3949.353;2100:3902.603;2200:3879.561;2300:3853.013;2400:3838.424;2500:3824.324;2600:3819.233;2700:3813.709;2800:3810.589;2900:3805.609;3000:3801.243;3100:3799.827;3200:3799.122;3300:3798.364;3400:3798.066;3500:3797.335;3600:3796.53;3700:3796.136;3800:3795.995;3900:3795.808;4000:3795.633;4100:3795.4;4200:3795.285;4300:3795.049;4400:3794.64;4500:3794.223;4600:3794.102;4700:3793.647;4800:3793.497;4900:3793.356;5000:3793.262;5100:3792.723;5200:3792.361;5300:3792.09;5400:3791.935;5500:3791.749;5600:3791.607;5700:3791.451;5800:3791.198;5900:3790.877;6000:3790.769;6100:3790.508;6200:3790.421;6300:3790.259;6400:3790.043;6500:3789.743;6600:3789.19;6700:3789.032;6800:3788.917;6900:3788.745;7000:3788.594;7100:3788.472;7200:3788.051;7300:3787.92;7400:3787.481;7500:3787.302;7600:3787.115;7700:3787.024;7800:3786.876;7900:3786.721;8000:3786.642;8100:3786.508;8200:3786.419;8300:3786.294;8400:3786.1;8500:3786.033;8600:3785.988;8700:3785.903;8800:3785.843;8900:3785.741;9000:3785.644;9100:3785.592;9200:3785.428;9300:3785.392;9400:3785.34;9500:3785.259;9600:3785.225;9700:3785.191;9800:3785.16;9900:3785.123;10000:3785.057;10100:3784.868;10200:3784.827;10300:3784.757;10400:3784.636;10500:3784.464;10600:3784.43;10700:3784.384;10800:3784.322;10900:3784.281;11000:3784.241;11100:3784.188;11200:3784.118;11300:3784.004;11400:3783.989;11500:3783.953;11600:3783.924;11700:3783.868;11800:3783.773;11900:3783.731;12000:3783.702;12100:3783.089;12200:3782.522;12300:3782.36;12400:3782.331;12500:3782.218;12600:3782.181;12700:3782.1;12800:3781.94;12900:3781.894;13000:3781.831;13100:3781.755;13200:3781.615;13300:3781.454;13400:3781.416;13500:3781.343;13600:3781.337;13700:3781.312;13800:3781.263;13900:3781.237;14000:3781.223;14100:3781.19;14200:3781.158;14300:3781.119;14400:3781.108;14500:3781.057;14600:3781.038;14700:3781.032;14800:3781.02;14900:3780.987;15000:3780.966;15100:3780.887;15200:3780.786;15300:3780.767;15400:3780.749;15500:3780.664;15600:3780.65;15700:3780.632;15800:3780.627;15900:3780.6;16000:3780.587;16100:3780.541;16200:3780.526;16300:3780.517;16400:3780.486;16500:3780.479;16600:3780.458;16700:3780.427
LSHADE,F17,22335.731,4044.424,1:10599829970.3;100:2377801.009;200:647966.478;300:453018.496;400:364208.891;500:301043.46;600:259354.119;700:228946.116;800:208580.953;900:191272.129;1000:176488.647;1100:162900.566;1200:152599.08;1300:144775.949;1400:136090.191;1500:127307.304;1600:120634.839;1700:114753.112;1800:107724.798;1900:101198.23;2000:95350.582;2100:90600.503;2200:85791.571;2300:81725.779;2400:78405.877;2500:74280.93;2600:70459.504;2700:67272.042;2800:65061.068;2900:62919.961;3000:61352.976;3100:59575.992;3200:57900.335;3300:55925.107;3400:54256.213;3500:52110.206;3600:50578.321;3700:49182.458;3800:47754.019;3900:46271.163;4000:44397.832;4100:43471.935;4200:42656.213;4300:41719.181;4400:40499.773;4500:39195.496;4600:38588.896;4700:37888.232;4800:37339.919;4900:37005.374;5000:36674.165;5100:36289.86;5200:35553.971;5300:34849.396;5400:34347.377;5500:34090.683;5600:33782.03;5700:33497.135;5800:33044.259;5900:32530.713;6000:31975.532;6100:31608.648;6200:31317.045;6300:30861.909;6400:30389.76;6500:30057.588;6600:29586.377;6700:29193.36;6800:28945.316;6900:28680.209;7000:28462.231;7100:28282.551;7200:28056.072;7300:27945.845;7400:27859.222;7500:27753.778;7600:27671.789;7700:27589.757;7800:27452.343;7900:27320.697;8000:27204.534;8100:27095.179;8200:27046.219;8300:26992.778;8400:26956.656;8500:26885.201;8600:26808.268;8700:26704.859;8800:26599.889;8900:26441.41;9000:26256.864;9100:26119.245;9200:26030.952;9300:25949.341;9400:25882.375;9500:25829.485;9600:25798.622;9700:25776.267;9800:25751.592;9900:25644.056;10000:25597.392;10100:25547.729;10200:25501.483;10300:25465.772;10400:25442.025;10500:25416.38;10600:25403.187;10700:25376.438;10800:25346.14;10900:25298.22;11000:25237.266;11100:24902.11;11200:24815.746;11300:24600.757;11400:24445.6;11500:24370.604;11600:24345.613;11700:24318.692;11800:24308.699;11900:24297.918;12000:24278.67;12100:24260.538;12200:24246.446;12300:24238.558;12400:24230.938;12500:24222.091;12600:24217.528;12700:24206.071;12800:24198.525;12900:24193.928;13000:24191.031;13100:24188.98;13200:24185.177;13300:24167.472;13400:24153.708;13500:24146.168;13600:24139.287;13700:24137.921;13800:24136.208;13900:24134.278;14000:24131.249;14100:24128.11;14200:24125.128;14300:24123.128;14400:24119.855;14500:24119.349;14600:24101.327;14700:23800.055;14800:23796.502;14900:23738.131;15000:23721.914;15100:23707.013;15200:23705.841;15300:23705.681;15400:23705.13;15500:23704.593;15600:23644.523;15700:22687.87;15800:22631.91;15900:22618.086;16000:22441.257;16100:22365.201;16200:22357.211;16300:22355.777;16400:22353.841;16500:22352.761;16600:22349.181;16700:22348.575
LSHADE,F18,6247.76,4788.283,1:3.3035342429744456e+16;100:806030498.873;200:285133.126;300:48876.515;400:12794.223;500:6615.035;600:6415.107;700:6369.399;800:6345.813;900:6330.039;1000:6322.312;1100:6316.085;1200:6310.582;1300:6306.107;1400:6302.758;1500:6298.521;1600:6295.78;1700:6293.012;1800:6291.253;1900:6289.944;2000:6288.609;2100:6285.793;2200:6284.642;2300:6283.315;2400:6281.769;2500:6280.335;2600:6278.519;2700:6277.62;2800:6276.297;2900:6275.539;3000:6274.655;3100:6273.843;3200:6272.367;3300:6271.467;3400:6270.872;3500:6270.381;3600:6269.611;3700:6269.228;3800:6268.496;3900:6267.654;4000:6267.005;4100:6266.405;4200:6265.858;4300:6265.512;4400:6265.095;4500:6264.381;4600:6264.22;4700:6263.685;4800:6263.325;4900:6262.842;5000:6262.492;5100:6262.157;5200:6261.881;5300:6261.507;5400:6261.161;5500:6260.785;5600:6260.339;5700:6259.911;5800:6259.701;5900:6259.426;6000:6259.251;6100:6258.77;6200:6258.126;6300:6257.879;6400:6257.711;6500:6257.534;6600:6257.299;6700:6257.089;6800:6256.83;6900:6256.763;7000:6256.544;7100:6256.389;7200:6256.1;7300:6255.905;7400:6255.617;7500:6255.463;7600:6255.182;7700:6254.68;7800:6254.577;7900:6254.169;8000:6253.861;8100:6253.729;8200:6253.634;8300:6253.442;8400:6253.213;8500:6252.859;8600:6252.707;8700:6252.571;8800:6252.452;8900:6252.336;9000:6252.273;9100:6252.246;9200:6252.167;9300:6252.133;9400:6252.028;9500:6251.942;9600:6251.827;9700:6251.759;9800:6251.65;9900:6251.525;10000:6251.418;10100:6251.374;10200:6251.283;10300:6251.148;10400:6251.103;10500:6251.042;10600:6250.979;10700:6250.908;10800:6250.853;10900:6250.783;11000:6250.75;11100:6250.719;11200:6250.573;11300:6250.483;11400:6250.427;11500:6250.365;11600:6250.315;11700:6250.274;11800:6250.209;11900:6250.085;12000:6250.029;12100:6249.992;12200:6249.949;12300:6249.887;12400:6249.829;12500:6249.779;12600:6249.684;12700:6249.634;12800:6249.581;12900:6249.551;13000:6249.454;13100:6249.371;13200:6249.322;13300:6249.28;13400:6249.217;13500:6249.177;13600:6249.157;13700:6249.13;13800:6249.062;13900:6249.038;14000:6249.004;14100:6248.974;14200:6248.896;14300:6248.834;14400:6248.796;14500:6248.744;14600:6248.715;14700:6248.695;14800:6248.661;14900:6248.623;15000:6248.588;15100:6248.515;15200:6248.501;15300:6248.465;15400:6248.43;15500:6248.41;15600:6248.363;15700:6248.307;15800:6248.174;15900:6248.154;16000:6248.134;16100:6248.094;16200:6248.069;16300:6248.021;16400:6247.992;16500:6247.941;16600:6247.86;16700:6247.776
LSHADE,F19,2096.394,74.806,1:49047.499;100:4304.018;200:3309.736;300:2979.599;400:2839.709;500:2753.466;600:2703.18;700:2655.719;800:2605.345;900:2555.409;1000:2515.082;1100:2485.333;1200:2467.395;1300:2448.238;1400:2426.585;1500:2406.871;1600:2386.883;1700:2375.838;1800:2363.662;1900:2353.738;2000:2341.354;2100:2330.224;2200:2315.474;2300:2304.243;2400:2298.96;2500:2292.938;2600:2287.903;2700:2283.954;2800:2274.957;2900:2265.066;3000:2261.929;3100:2255.918;3200:2246.788;3300:2243.189;3400:2239.936;3500:2236.345;3600:2233.043;3700:2227.76;3800:2225.809;3900:2223.152;4000:2220.675;4100:2218.241;4200:2215.848;4300:2212.758;4400:2208.652;4500:2206.239;4600:2203.455;4700:2200.192;4800:2196.048;4900:2189.54;5000:2186.928;5100:2185.562;5200:2183.751;5300:2181.358;5400:2180.318;5500:2178.697;5600:2175.053;5700:2172.644;5800:2170.321;5900:2168.375;6000:2165.695;6100:2164.178;6200:2163.716;6300:2162.571;6400:2159.849;6500:2158.467;6600:2156.956;6700:2155.358;6800:2154.258;6900:2153.011;7000:2151.17;7100:2150.407;7200:2149.371;7300:2148.527;7400:2147.805;7500:2146.199;7600:2144.025;7700:2143.488;7800:2142.374;7900:2140.67;8000:2139.583;8100:2137.622;8200:2136.928;8300:2135.686;8400:2134.933;8500:2133.684;8600:2132.97;8700:2131.933;8800:2130.616;8900:2129.333;9000:2128.503;9100:2128.057;9200:2127.176;9300:2126.808;9400:2126.186;9500:2125.187;9600:2124.809;9700:2124.221;9800:2123.851;9900:2122.777;10000:2122.106;10100:2120.849;10200:2120.583;10300:2119.607;10400:2116.339;10500:2115.911;10600:2115.413;10700:2114.71;10800:2114.11;10900:2114.032;11000:2113.648;11100:2113.306;11200:2113.055;11300:2112.672;11400:2112.483;11500:2112.033;11600:2111.89;11700:2111.403;11800:2111.023;11900:2110.83;12000:2110.521;12100:2110.303;12200:2110.071;12300:2109.829;12400:2109.763;12500:2108.927;12600:2108.532;12700:2108.428;12800:2108.279;12900:2107.407;13000:2106.177;13100:2105.982;13200:2105.684;13300:2105.563;13400:2105.216;13500:2104.804;13600:2104.59;13700:2104.206;13800:2104.11;13900:2103.965;14000:2103.817;14100:2103.207;14200:2103.113;14300:2102.99;14400:2102.51;14500:2102.429;14600:2102.313;14700:2102.197;14800:2101.994;14900:2101.872;15000:2101.695;15100:2101.253;15200:2101.135;15300:2100.906;15400:2100.716;15500:2100.522;15600:2100.017;15700:2099.632;15800:2099.103;15900:2098.892;16000:2098.749;16100:2098.596;16200:2097.529;16300:2097.429;16400:2097.286;16500:2096.97;16600:2096.722;16700:2096.439
LSHADE,F20,3039.953,183.35,1:282214.516;100:39542.553;200:11135.14;300:5335.8;400:3957.353;500:3748.65;600:3562.843;700:3390.39;800:3280.649;900:3227.964;1000:3202.174;1100:3187.342;1200:3173.149;1300:3161.96;1400:3150.671;1500:3145.371;1600:3137.397;1700:3130.546;1800:3126.352;1900:3120.226;2000:3114.068;2100:3109.5;2200:3104.171;2300:3101.062;2400:3097.047;2500:3094.421;2600:3092.463;2700:3088.396;2800:3086.413;2900:3083.24;3000:3080.509;3100:3078.072;3200:3076.133;3300:3074.539;3400:3073.207;3500:3071.748;3600:3070.705;3700:3069.707;3800:3067.721;3900:3066.527;4000:3065.489;4100:3064.687;4200:3063.811;4300:3062.841;4400:3061.905;4500:3060.413;4600:3059.638;4700:3058.954;4800:3058.208;4900:3057.719;5000:3057.064;5100:3056.872;5200:3056.006;5300:3055.464;5400:3055.072;5500:3054.484;5600:3053.767;5700:3053.055;5800:3052.523;5900:3052.13;6000:3051.822;6100:3051.599;6200:3051.459;6300:3050.822;6400:3050.525;6500:3050.046;6600:3049.813;6700:3048.963;6800:3048.625;6900:3048.326;7000:3047.912;7100:3047.711;7200:3047.241;7300:3047.083;7400:3047.022;7500:3046.909;7600:3046.811;7700:3046.699;7800:3046.536;7900:3046.123;8000:3046.015;8100:3045.779;8200:3045.634;8300:3045.47;8400:3045.28;8500:3045.168;8600:3045.015;8700:3044.77;8800:3044.702;8900:3044.681;9000:3044.534;9100:3044.322;9200:3044.17;9300:3043.857;9400:3043.721;9500:3043.664;9600:3043.577;9700:3043.463;9800:3043.365;9900:3043.265;10000:3043.123;10100:3043.047;10200:3042.978;10300:3042.907;10400:3042.872;10500:3042.785;10600:3042.7;10700:3042.636;10800:3042.621;10900:3042.583;11000:3042.571;11100:3042.498;11200:3042.429;11300:3042.293;11400:3042.235;11500:3042.188;11600:3042.13;11700:3042.007;11800:3041.879;11900:3041.733;12000:3041.621;12100:3041.609;12200:3041.587;12300:3041.563;12400:3041.501;12500:3041.476;12600:3041.39;12700:3041.365;12800:3041.33;12900:3041.296;13000:3041.262;13100:3041.209;13200:3041.131;13300:3041.032;13400:3041.015;13500:3040.967;13600:3040.953;13700:3040.864;13800:3040.836;13900:3040.806;14000:3040.782;14100:3040.749;14200:3040.731;14300:3040.708;14400:3040.683;14500:3040.663;14600:3040.632;14700:3040.597;14800:3040.537;14900:3040.491;15000:3040.459;15100:3040.429;15200:3040.412;15300:3040.35;15400:3040.326;15500:3040.251;15600:3040.218;15700:3040.213;15800:3040.21;15900:3040.189;16000:3040.153;16100:3040.13;16200:3040.118;16300:3040.053;16400:3040.035;16500:3040.013;16600:3040.007;16700:3039.989
