Algorithm,Function,Mean,Std,Convergence
LSHADE,F12,3181.854,1899.799,1:28140650506.246;100:41771.28;200:9880.617;300:5690.157;400:4729.684;500:4238.488;600:3429.584;700:3373.386;800:3360.851;900:3349.585;1000:3342.04;1100:3335.572;1200:3330.025;1300:3323.887;1400:3318.125;1500:3312.33;1600:3305.339;1700:3291.072;1800:3278.256;1900:3264.525;2000:3247.382;2100:3242.078;2200:3233.739;2300:3228.724;2400:3219.698;2500:3215.09;2600:3213.494;2700:3210.464;2800:3204.192;2900:3200.558;3000:3195.334;3100:3191.609;3200:3189.033;3300:3186.965;3400:3186.292;3500:3185.053;3600:3184.432;3700:3184.102;3800:3183.869;3900:3183.524;4000:3183.402;4100:3183.309;4200:3182.758;4300:3182.708;4400:3182.687;4500:3182.645;4600:3182.46;4700:3182.404;4800:3182.298;4900:3181.979;5000:3181.907
LSHADE,F13,1987.943,590.25,1:761955074.952;100:14662.052;200:4955.03;300:3754.762;400:3003.549;500:2678.527;600:2522.28;700:2350.248;800:2305.133;900:2245.59;1000:2230.409;1100:2208.074;1200:2173.845;1300:2141.329;1400:2130.77;1500:2115.173;1600:2109.72;1700:2096.198;1800:2093.569;1900:2088.182;2000:2064.404;2100:2062.339;2200:2058.884;2300:2033.403;2400:2032.752;2500:2026.538;2600:2024.087;2700:2022.481;2800:2016.484;2900:2015.07;3000:2010.688;3100:2006.233;3200:2002.362;3300:1999.459;3400:1998.934;3500:1998.391;3600:1998.22;3700:1997.733;3800:1997.636;3900:1997.4;4000:1996.065;4100:1995.204;4200:1994.769;4300:1994.757;4400:1994.62;4500:1992.32;4600:1991.679;4700:1990.226;4800:1990.006;4900:1988.676;5000:1987.97
LSHADE,F14,3015.086,2267.75,1:16989905433.842;100:48803.436;200:13390.966;300:8120.465;400:6167.283;500:5291.281;600:4786.378;700:4605.011;800:4363.539;900:4215.826;1000:4168.453;1100:4088.902;1200:3944.876;1300:3893.411;1400:3854.662;1500:3786.235;1600:3642.581;1700:3358.053;1800:3234.659;1900:3201.824;2000:3175.056;2100:3168.027;2200:3150.698;2300:3137.368;2400:3099.998;2500:3078.273;2600:3066.568;2700:3059.006;2800:3056.715;2900:3053.896;3000:3046.822;3100:3038.318;3200:3035.109;3300:3029.947;3400:3023.444;3500:3020.429;3600:3019.196;3700:3017.4;3800:3016.963;3900:3016.831;4000:3016.667;4100:3016.147;4200:3016.081;4300:3015.37;4400:3015.115;4500:3015.093;4600:3015.089;4700:3015.087;4800:3015.087;4900:3015.087;5000:3015.087
LSHADE,F15,1682.727,180.946,1:65292784188.482;100:2404.084;200:1686.486;300:1685.845;400:1685.67;500:1685.518;600:1685.357;700:1685.061;800:1684.771;900:1684.425;1000:1684.168;1100:1683.856;1200:1683.713;1300:1683.416;1400:1683.232;1500:1683.095;1600:1682.992;1700:1682.935;1800:1682.904;1900:1682.887;2000:1682.875;2100:1682.862;2200:1682.848;2300:1682.839;2400:1682.83;2500:1682.806;2600:1682.794;2700:1682.787;2800:1682.777;2900:1682.772;3000:1682.769;3100:1682.768;3200:1682.763;3300:1682.758;3400:1682.754;3500:1682.752;3600:1682.75;3700:1682.746;3800:1682.744;3900:1682.743;4000:1682.741;4100:1682.738;4200:1682.733;4300:1682.732;4400:1682.732;4500:1682.73;4600:1682.729;4700:1682.728;4800:1682.727;4900:1682.727;5000:1682.727
LSHADE,F16,1781.768,177.085,1:2.5119331430953376e+17;100:3279.401;200:1955.39;300:1878.173;400:1853.571;500:1843.185;600:1835.634;700:1832.024;800:1825.646;900:1819.613;1000:1815.365;1100:1810.753;1200:1807.484;1300:1805.442;1400:1802.647;1500:1800.371;1600:1799.106;1700:1797.192;1800:1796.151;1900:1795.374;2000:1793.222;2100:1792.361;2200:1791.218;2300:1791.034;2400:1790.242;2500:1789.452;2600:1788.439;2700:1787.21;2800:1786.924;2900:1786.629;3000:1786.543;3100:1786.408;3200:1786.15;3300:1786.008;3400:1785.815;3500:1785.456;3600:1785.246;3700:1784.857;3800:1784.709;3900:1784.588;4000:1784.484;4100:1784.126;4200:1783.812;4300:1783.517;4400:1783.251;4500:1782.773;4600:1782.736;4700:1782.717;4800:1782.235;4900:1781.913;5000:1781.834
LSHADE,F17,33357.484,9919.463,1:40152772.289;100:181721.755;200:179117.144;300:178916.623;400:178848.417;500:178823.651;600:178817.41;700:34188.118;800:34146.851;900:34112.35;1000:34097.46;1100:34094.758;1200:34089.96;1300:34079.581;1400:34075.174;1500:34071.711;1600:33910.928;1700:33904.727;1800:33871.701;1900:33847.542;2000:33838.578;2100:33830.893;2200:33829.554;2300:33826.564;2400:33777.57;2500:33771.358;2600:33769.488;2700:33768.734;2800:33768.069;2900:33767.637;3000:33766.872;3100:33766.136;3200:33765.464;3300:33765.294;3400:33764.504;3500:33762.241;3600:33761.136;3700:33760.825;3800:33760.748;3900:33760.665;4000:33760.547;4100:33760.293;4200:33760.277;4300:33759.705;4400:33759.565;4500:33759.547;4600:33759.522;4700:33759.512;4800:33759.502;4900:33759.487;5000:33357.486
LSHADE,F18,1816.209,8.111,1:1.3216789436150704e+17;100:256836.192;200:2024.853;300:1843.116;400:1834.324;500:1830.232;600:1828.665;700:1828.002;800:1825.897;900:1825.003;1000:1824.042;1100:1823.526;1200:1822.811;1300:1822.346;1400:1821.796;1500:1821.686;1600:1821.342;1700:1820.791;1800:1820.366;1900:1820.015;2000:1819.74;2100:1819.305;2200:1819.121;2300:1818.854;2400:1818.702;2500:1818.49;2600:1818.453;2700:1818.295;2800:1818.175;2900:1818.087;3000:1818.041;3100:1817.928;3200:1817.892;3300:1817.756;3400:1817.532;3500:1817.501;3600:1817.337;3700:1817.277;3800:1817.257;3900:1817.158;4000:1817.086;4100:1816.979;4200:1816.94;4300:1816.769;4400:1816.762;4500:1816.632;4600:1816.587;4700:1816.519;4800:1816.391;4900:1816.367;5000:1816.29
LSHADE,F19,2081.035,138.996,1:26458.615;100:2798.839;200:2275.331;300:2209.331;400:2178.327;500:2126.043;600:2114.528;700:2107.078;800:2102.296;900:2099.094;1000:2096.29;1100:2094.795;1200:2092.694;1300:2091.68;1400:2090.464;1500:2088.854;1600:2087.496;1700:2087.16;1800:2086.578;1900:2085.987;2000:2085.627;2100:2085.242;2200:2084.878;2300:2084.553;2400:2084.224;2500:2084.018;2600:2083.864;2700:2083.522;2800:2083.483;2900:2083.418;3000:2083.159;3100:2082.995;3200:2082.836;3300:2082.742;3400:2082.572;3500:2082.084;3600:2082.026;3700:2081.984;3800:2081.882;3900:2081.823;4000:2081.677;4100:2081.638;4200:2081.55;4300:2081.434;4400:2081.375;4500:2081.307;4600:2081.167;4700:2081.106;4800:2081.074;4900:2081.051;5000:2081.039
LSHADE,F20,2182.361,67.523,1:70761.654;100:2607.092;200:2279.764;300:2247.583;400:2229.601;500:2218.542;600:2211.966;700:2206.391;800:2200.679;900:2196.263;1000:2194.04;1100:2192.633;1200:2191.29;1300:2190.02;1400:2189.356;1500:2188.298;1600:2187.465;1700:2186.703;1800:2186.335;1900:2185.517;2000:2185.188;2100:2184.733;2200:2184.591;2300:2184.312;2400:2184.02;2500:2183.708;2600:2183.611;2700:2183.436;2800:2183.281;2900:2183.147;3000:2183.106;3100:2183.023;3200:2182.981;3300:2182.944;3400:2182.933;3500:2182.915;3600:2182.895;3700:2182.865;3800:2182.808;3900:2182.779;4000:2182.709;4100:2182.692;4200:2182.677;4300:2182.668;4400:2182.588;4500:2182.569;4600:2182.558;4700:2182.542;4800:2182.388;4900:2182.371;5000:2182.364
LSHADE,F21,2308.458,89.097,1:9466.185;100:2346.112;200:2308.574;300:2308.458;400:2308.458;500:2308.458;600:2308.458;700:2308.458;800:2308.458;900:2308.458;1000:2308.458;1100:2308.458;1200:2308.458;1300:2308.458;1400:2308.458;1500:2308.458;1600:2308.458;1700:2308.458;1800:2308.458;1900:2308.458;2000:2308.458;2100:2308.458;2200:2308.458;2300:2308.458;2400:2308.458;2500:2308.458;2600:2308.458;2700:2308.458;2800:2308.458;2900:2308.458;3000:2308.458;3100:2308.458;3200:2308.458;3300:2308.458;3400:2308.458;3500:2308.458;3600:2308.458;3700:2308.458;3800:2308.458;3900:2308.458;4000:2308.458;4100:2308.458;4200:2308.458;4300:2308.458;4400:2308.458;4500:2308.458;4600:2308.458;4700:2308.458;4800:2308.458;4900:2308.458;5000:2308.458
LSHADE,F22,2445.66,69.926,1:75993.654;100:3309.359;200:2509.472;300:2481.524;400:2473.92;500:2468.551;600:2462.562;700:2458.596;800:2457.187;900:2455.409;1000:2453.787;1100:2453.058;1200:2452.197;1300:2451.134;1400:2450.554;1500:2450.136;1600:2449.77;1700:2449.426;1800:2449.138;1900:2448.609;2000:2448.345;2100:2448.109;2200:2447.86;2300:2447.631;2400:2447.417;2500:2447.032;2600:2446.883;2700:2446.73;2800:2446.68;2900:2446.582;3000:2446.539;3100:2446.473;3200:2446.361;3300:2446.316;3400:2446.288;3500:2446.237;3600:2446.033;3700:2445.918;3800:2445.784;3900:2445.771;4000:2445.747;4100:2445.73;4200:2445.716;4300:2445.709;4400:2445.704;4500:2445.7;4600:2445.689;4700:2445.684;4800:2445.674;4900:2445.666;5000:2445.664
LSHADE,F23,2500,0,1:38014.025;100:3005.719;200:2509.759;300:2500.201;400:2500.007;500:2500.0;600:2500.0;700:2500.0;800:2500.0;900:2500.0;1000:2500.0;1100:2500.0;1200:2500.0;1300:2500.0;1400:2500.0;1500:2500.0;1600:2500.0;1700:2500.0;1800:2500.0;1900:2500.0;2000:2500.0;2100:2500.0;2200:2500.0;2300:2500.0;2400:2500.0;2500:2500.0;2600:2500.0;2700:2500.0;2800:2500.0;2900:2500.0;3000:2500.0;3100:2500.0;3200:2500.0;3300:2500.0;3400:2500.0;3500:2500.0;3600:2500.0;3700:2500.0;3800:2500.0;3900:2500.0;4000:2500.0;4100:2500.0;4200:2500.0;4300:2500.0;4400:2500.0;4500:2500.0;4600:2500.0;4700:2500.0;4800:2500.0;4900:2500.0;5000:2500.0
LSHADE,F24,2821.01,0.177,1:11612.675;100:2840.546;200:2822.168;300:2821.118;400:2821.023;500:2821.01;600:2821.01;700:2821.01;800:2821.01;900:2821.01;1000:2821.01;1100:2821.01;1200:2821.01;1300:2821.01;1400:2821.01;1500:2821.01;1600:2821.01;1700:2821.01;1800:2821.01;1900:2821.01;2000:2821.01;2100:2821.01;2200:2821.01;2300:2821.01;2400:2821.01;2500:2821.01;2600:2821.01;2700:2821.01;2800:2821.01;2900:2821.01;3000:2821.01;3100:2821.01;3200:2821.01;3300:2821.01;3400:2821.01;3500:2821.01;3600:2821.01;3700:2821.01;3800:2821.01;3900:2821.01;4000:2821.01;4100:2821.01;4200:2821.01;4300:2821.01;4400:2821.01;4500:2821.01;4600:2821.01;4700:2821.01;4800:2821.01;4900:2821.01;5000:2821.01
LSHADE,F25,3339.201,40.241,1:42522.347;100:3358.394;200:3341.556;300:3339.266;400:3339.203;500:3339.201;600:3339.201;700:3339.201;800:3339.201;900:3339.201;1000:3339.201;1100:3339.201;1200:3339.201;1300:3339.201;1400:3339.201;1500:3339.201;1600:3339.201;1700:3339.201;1800:3339.201;1900:3339.201;2000:3339.201;2100:3339.201;2200:3339.201;2300:3339.201;2400:3339.201;2500:3339.201;2600:3339.201;2700:3339.201;2800:3339.201;2900:3339.201;3000:3339.201;3100:3339.201;3200:3339.201;3300:3339.201;3400:3339.201;3500:3339.201;3600:3339.201;3700:3339.201;3800:3339.201;3900:3339.201;4000:3339.201;4100:3339.201;4200:3339.201;4300:3339.201;4400:3339.201;4500:3339.201;4600:3339.201;4700:3339.201;4800:3339.201;4900:3339.201;5000:3339.201
LSHADE,F26,3185.941,91.664,1:10900.907;100:3217.441;200:3192.638;300:3189.918;400:3188.064;500:3187.668;600:3187.605;700:3187.115;800:3187.058;900:3186.974;1000:3186.947;1100:3186.247;1200:3186.205;1300:3186.168;1400:3186.156;1500:3186.139;1600:3186.136;1700:3186.103;1800:3185.995;1900:3185.946;2000:3185.941;2100:3185.941;2200:3185.941;2300:3185.941;2400:3185.941;2500:3185.941;2600:3185.941;2700:3185.941;2800:3185.941;2900:3185.941;3000:3185.941;3100:3185.941;3200:3185.941;3300:3185.941;3400:3185.941;3500:3185.941;3600:3185.941;3700:3185.941;3800:3185.941;3900:3185.941;4000:3185.941;4100:3185.941;4200:3185.941;4300:3185.941;4400:3185.941;4500:3185.941;4600:3185.941;4700:3185.941;4800:3185.941;4900:3185.941;5000:3185.941
LSHADE,F27,3268.006,786.872,1:25548.478;100:3557.503;200:3424.614;300:3378.491;400:3307.286;500:3273.549;600:3269.607;700:3269.278;800:3268.91;900:3268.812;1000:3268.665;1100:3268.461;1200:3268.393;1300:3268.297;1400:3268.242;1500:3268.224;1600:3268.21;1700:3268.194;1800:3268.147;1900:3268.137;2000:3268.135;2100:3268.123;2200:3268.111;2300:3268.102;2400:3268.088;2500:3268.086;2600:3268.085;2700:3268.08;2800:3268.076;2900:3268.073;3000:3268.068;3100:3268.067;3200:3268.064;3300:3268.059;3400:3268.056;3500:3268.054;3600:3268.052;3700:3268.038;3800:3268.037;3900:3268.033;4000:3268.033;4100:3268.032;4200:3268.03;4300:3268.029;4400:3268.027;4500:3268.024;4600:3268.02;4700:3268.017;4800:3268.01;4900:3268.007;5000:3268.006
LSHADE,F28,6347.894,2094.939,1:1309071038366432.5;100:55342.392;200:11127.783;300:7218.228;400:6693.052;500:6466.588;600:6398.759;700:6377.554;800:6370.3;900:6366.35;1000:6363.432;1100:6354.628;1200:6352.582;1300:6351.815;1400:6351.291;1500:6351.086;1600:6350.925;1700:6350.779;1800:6350.696;1900:6350.268;2000:6350.133;2100:6349.928;2200:6349.801;2300:6349.657;2400:6349.54;2500:6349.379;2600:6349.34;2700:6349.242;2800:6349.173;2900:6349.146;3000:6349.118;3100:6349.096;3200:6349.079;3300:6349.029;3400:6349.016;3500:6348.882;3600:6348.839;3700:6348.817;3800:6348.792;3900:6348.773;4000:6348.271;4100:6348.17;4200:6348.129;4300:6348.075;4400:6348.046;4500:6348.029;4600:6348.009;4700:6348.001;4800:6347.979;4900:6347.923;5000:6347.903
LSHADE,F29,5879.448,1294.955,1:525467545404370.3;100:193394.264;200:21849.417;300:10861.019;400:7255.223;500:6625.395;600:6521.453;700:6094.94;800:5953.137;900:5911.846;1000:5903.018;1100:5898.635;1200:5895.474;1300:5887.972;1400:5884.684;1500:5882.841;1600:5882.464;1700:5882.314;1800:5882.099;1900:5881.934;2000:5881.161;2100:5880.927;2200:5880.846;2300:5880.744;2400:5880.566;2500:5880.517;2600:5880.38;2700:5880.261;2800:5880.169;2900:5880.118;3000:5880.028;3100:5879.907;3200:5879.821;3300:5879.711;3400:5879.665;3500:5879.622;3600:5879.608;3700:5879.577;3800:5879.556;3900:5879.526;4000:5879.513;4100:5879.49;4200:5879.484;4300:5879.482;4400:5879.477;4500:5879.471;4600:5879.467;4700:5879.459;4800:5879.453;4900:5879.45;5000:5879.449
