Algorithm,Function,Mean,Std,Convergence
DE,F14,274172.739,136741.781,1:50692139542.342;100:723644458.884;200:46964491.144;300:16880467.42;400:7554339.281;500:5146101.405;600:3559293.976;700:2581928.829;800:1987552.286;900:1616976.342;1000:1267330.228;1100:1071752.355;1200:899311.668;1300:799049.691;1400:674559.782;1500:626670.46;1600:587064.327;1700:503161.22;1800:449390.779;1900:398774.848;2000:373407.709;2100:356360.022;2200:330885.029;2300:319748.343;2400:291828.459;2500:274172.739
DE,F15,3068.331,2224.096,1:234636113673.516;100:70392852.773;200:161195.403;300:39569.431;400:14613.046;500:9393.65;600:7032.876;700:6044.852;800:5542.104;900:5051.293;1000:4694.173;1100:4385.414;1200:4162.248;1300:4022.621;1400:3913.536;1500:3819.083;1600:3718.279;1700:3608.108;1800:3504.418;1900:3404.859;2000:3358.717;2100:3285.192;2200:3234.319;2300:3196.826;2400:3137.952;2500:3068.331
DE,F16,23583.355,6956.012,1:469348431333573.75;100:9226997.277;200:535662.53;300:206567.655;400:118739.118;500:104033.434;600:85864.289;700:76138.473;800:69145.282;900:63613.899;1000:60043.505;1100:53598.431;1200:48050.39;1300:45680.28;1400:43577.848;1500:40674.347;1600:38324.439;1700:35702.601;1800:34298.422;1900:31950.253;2000:30659.203;2100:28992.075;2200:27537.931;2300:25698.126;2400:24645.852;2500:23583.355
DE,F17,341094.414,88263.746,1:6828369248.629;100:18731667.239;200:8292436.224;300:5223297.416;400:3721420.02;500:2953969.392;600:2453082.832;700:2086797.934;800:1767426.111;900:1601891.041;1000:1438057.319;1100:1244363.66;1200:1099273.889;1300:937888.033;1400:852423.073;1500:784273.785;1600:675452.509;1700:628345.381;1800:574335.741;1900:540260.702;2000:492656.263;2100:450570.232;2200:419603.294;2300:376777.017;2400:359006.431;2500:341094.414
DE,F18,13186.31,8291.476,1:1.163373422192875e+18;100:72052607093.429;200:229940794.392;300:17798705.395;400:4720896.413;500:1833766.262;600:897559.928;700:484319.476;800:338712.095;900:230103.236;1000:160209.778;1100:118915.862;1200:93961.712;1300:75766.501;1400:58962.888;1500:52050.33;1600:41969.921;1700:34047.421;1800:31294.541;1900:25938.801;2000:23867.346;2100:21458.716;2200:18388.366;2300:16827.69;2400:14175.169;2500:13186.31
DE,F19,2078.541,82.792,1:29181.514;100:7474.62;200:2974.885;300:2504.671;400:2363.581;500:2281.191;600:2231.091;700:2197.934;800:2172.225;900:2160.156;1000:2145.076;1100:2137.391;1200:2126.571;1300:2121.206;1400:2116.45;1500:2109.948;1600:2105.881;1700:2100.036;1800:2097.722;1900:2092.423;2000:2089.503;2100:2086.766;2200:2085.37;2300:2082.955;2400:2080.339;2500:2078.541
DE,F20,2437.945,239.329,1:104883.976;100:22654.002;200:5908.268;300:3693.733;400:3163.903;500:2947.114;600:2762.348;700:2622.378;800:2536.699;900:2500.7;1000:2478.931;1100:2468.798;1200:2464.324;1300:2460.683;1400:2456.684;1500:2455.496;1600:2452.076;1700:2451.194;1800:2448.382;1900:2446.84;2000:2441.798;2100:2440.868;2200:2439.412;2300:2438.789;2400:2438.458;2500:2437.945
DE,F21,2434.986,369.726,1:18361.642;100:8641.225;200:5117.804;300:3532.718;400:2970.14;500:2757.973;600:2643.564;700:2575.31;800:2528.825;900:2496.047;1000:2476.259;1100:2460.996;1200:2451.461;1300:2444.582;1400:2438.861;1500:2435.789;1600:2435.127;1700:2435.012;1800:2434.99;1900:2434.987;2000:2434.987;2100:2434.986;2200:2434.986;2300:2434.986;2400:2434.986;2500:2434.986
DE,F22,2864.531,155.856,1:116424.412;100:41906.372;200:9355.112;300:4751.833;400:3511.571;500:3159.918;600:3033.39;700:2976.969;800:2948.847;900:2928.282;1000:2915.364;1100:2905.141;1200:2897.409;1300:2891.271;1400:2887.068;1500:2884.514;1600:2879.846;1700:2877.756;1800:2877.264;1900:2874.574;2000:2872.717;2100:2870.926;2200:2869.424;2300:2868.118;2400:2864.854;2500:2864.531
DE,F23,2777.933,260.125,1:71291.792;100:29354.153;200:9218.761;300:5297.452;400:3893.403;500:3255.95;600:2980.233;700:2880.464;800:2834.061;900:2815.562;1000:2805.402;1100:2799.762;1200:2795.853;1300:2792.654;1400:2789.982;1500:2786.101;1600:2785.065;1700:2782.444;1800:2782.319;1900:2781.803;2000:2780.568;2100:2780.567;2200:2779.818;2300:2778.591;2400:2778.221;2500:2777.933
DE,F24,3158.774,14.688,1:46945.096;100:7239.894;200:4390.094;300:3798.291;400:3576.088;500:3436.318;600:3358.242;700:3302.964;800:3265.02;900:3236.573;1000:3216.101;1100:3201.196;1200:3190.446;1300:3183.059;1400:3177.021;1500:3172.573;1600:3169.505;1700:3166.674;1800:3164.75;1900:3163.181;2000:3161.92;2100:3160.75;2200:3160.133;2300:3159.487;2400:3159.015;2500:3158.774
DE,F25,3752.789,111.509,1:267231.536;100:7525.229;200:4341.557;300:4089.679;400:3987.627;500:3927.562;600:3878.214;700:3839.953;800:3817.083;900:3799.559;1000:3784.85;1100:3774.816;1200:3768.91;1300:3764.393;1400:3761.774;1500:3759.58;1600:3758.342;1700:3756.93;1800:3756.047;1900:3755.426;2000:3754.873;2100:3754.562;2200:3754.311;2300:3753.993;2400:3753.369;2500:3752.789
DE,F26,3108.405,8.541,1:15842.498;100:10178.991;200:4187.642;300:3425.305;400:3341.723;500:3285.422;600:3258.026;700:3237.954;800:3217.729;900:3204.508;1000:3191.03;1100:3179.997;1200:3165.456;1300:3156.886;1400:3150.412;1500:3143.942;1600:3136.938;1700:3131.986;1800:3128.555;1900:3124.572;2000:3121.68;2100:3118.884;2200:3115.496;2300:3112.928;2400:3110.588;2500:3108.405
DE,F27,2700.002,0.005,1:14071.752;100:3768.333;200:3296.684;300:3228.055;400:3167.644;500:3080.604;600:2991.792;700:2914.066;800:2850.309;900:2801.432;1000:2770.147;1100:2745.696;1200:2729.379;1300:2718.263;1400:2710.629;1500:2705.537;1600:2702.726;1700:2701.452;1800:2700.67;1900:2700.276;2000:2700.122;2100:2700.05;2200:2700.022;2300:2700.01;2400:2700.005;2500:2700.002
DE,F28,492527.518,251460.784,1:8650523978369551.0;100:8668132400.586;200:266197361.558;300:82673201.096;400:39023086.872;500:19590314.645;600:12350013.233;700:8195113.196;800:6513530.95;900:4761275.531;1000:4109924.831;1100:3234325.454;1200:2985258.381;1300:2310905.558;1400:1939283.213;1500:1745996.468;1600:1433752.325;1700:1214910.81;1800:1094289.119;1900:892410.832;2000:794488.833;2100:755744.232;2200:652434.595;2300:586612.636;2400:552460.61;2500:492527.518
DE,F29,72342938.7,25625554.216,1:3.5598646431235904e+17;100:506747905354.772;200:4909495368.5;300:2118457472.991;400:1420990569.686;500:977163055.614;600:692003853.015;700:582935903.869;800:492513960.113;900:410398506.207;1000:367284668.17;1100:316565037.052;1200:278007789.388;1300:237470512.834;1400:213591453.86;1500:198734349.829;1600:179775747.597;1700:160207499.848;1800:142749165.662;1900:127325196.371;2000:119114853.873;2100:103792502.637;2200:97306051.762;2300:91493371.934;2400:78120969.598;2500:72342938.7
