Algorithm,Function,Mean,Std,Convergence
DE,F11,1272493910.525,205130758.842,1:262257029249.996;100:35366871952.42;200:12445900000.439;300:8650427027.251;400:6909699909.536;500:6005844594.723;600:5450154355.121;700:4899496382.73;800:4605822712.379;900:4249904197.395;1000:3926970537.82;1100:3741251506.04;1200:3572112003.602;1300:3414486843.138;1400:3324185609.827;1500:3174598694.898;1600:2986588916.271;1700:2888725959.188;1800:2794788669.903;1900:2687433059.442;2000:2622590577.262;2100:2515992705.416;2200:2467239816.461;2300:2445490622.213;2400:2357576148.103;2500:2276463151.838;2600:2234070709.546;2700:2172197898.994;2800:2144693882.055;2900:2057241981.626;3000:1990117688.983;3100:1957032368.957;3200:1926835220.852;3300:1916433749.793;3400:1854686841.356;3500:1780885606.568;3600:1760921249.574;3700:1717014299.911;3800:1689115957.867;3900:1654724885.146;4000:1642496075.907;4100:1615526510.0;4200:1597450533.433;4300:1580997481.919;4400:1525863411.604;4500:1488239286.93;4600:1405662032.034;4700:1353675418.066;4800:1330334718.405;4900:1309735143.507;5000:1272493910.525
DE,F12,11605.204,7138.397,1:535651616708.454;100:50157025496.857;200:9090918037.464;300:3164460180.604;400:1254241883.802;500:516141560.218;600:218716352.542;700:92948658.386;800:39003974.642;900:17287374.846;1000:7511812.267;1100:3428828.73;1200:1878230.107;1300:1048178.435;1400:645051.993;1500:429623.679;1600:304878.464;1700:222592.936;1800:167781.198;1900:126587.045;2000:95622.726;2100:73161.003;2200:57354.673;2300:44477.85;2400:35853.675;2500:28909.248;2600:24143.48;2700:20751.587;2800:18276.183;2900:16429.325;3000:15302.707;3100:14291.711;3200:13615.804;3300:13109.069;3400:12749.461;3500:12458.912;3600:12254.102;3700:12104.799;3800:12002.122;3900:11898.947;4000:11859.99;4100:11816.01;4200:11754.61;4300:11730.481;4400:11702.301;4500:11675.228;4600:11664.618;4700:11648.051;4800:11630.507;4900:11611.979;5000:11605.204
DE,F13,966605.639,271617.897,1:3820397988.617;100:48021347.689;200:26680454.853;300:19292648.336;400:14464463.341;500:12123956.983;600:10765394.983;700:9536384.575;800:9210426.931;900:8897405.193;1000:8062348.404;1100:7248482.744;1200:6860725.011;1300:6588182.51;1400:6219990.155;1500:6069889.252;1600:5502794.184;1700:5233974.832;1800:5075711.093;1900:4805940.107;2000:4651488.953;2100:3935704.952;2200:3816753.582;2300:3647656.698;2400:3511317.003;2500:3288173.357;2600:2993391.693;2700:2821490.276;2800:2708874.252;2900:2531811.8;3000:2433444.408;3100:2327903.833;3200:2235992.533;3300:2069653.124;3400:1976496.164;3500:1873830.513;3600:1788339.833;3700:1715667.579;3800:1597669.034;3900:1500820.694;4000:1432208.263;4100:1356602.831;4200:1325265.701;4300:1293520.791;4400:1255511.946;4500:1186868.844;4600:1148806.555;4700:1114698.635;4800:1077231.651;4900:1021464.058;5000:966605.639
DE,F14,148646.015,153049.951,1:80628941202.755;100:5812547450.054;200:1164125250.112;300:540286387.61;400:323853155.314;500:211816713.497;600:143060023.37;700:106582100.609;800:80430243.054;900:59836246.526;1000:46452036.234;1100:36514771.467;1200:28270594.645;1300:22994608.266;1400:19015841.299;1500:15614214.44;1600:12892762.665;1700:10953376.153;1800:8616710.064;1900:6949791.214;2000:5061760.981;2100:4493842.895;2200:3913455.805;2300:3448915.118;2400:3110042.486;2500:2619796.217;2600:2228265.717;2700:1942615.251;2800:1733137.077;2900:1520651.261;3000:1181823.304;3100:1061910.016;3200:972599.609;3300:877006.392;3400:801058.27;3500:733272.264;3600:625606.594;3700:553906.857;3800:492037.774;3900:460336.676;4000:431426.882;4100:376967.21;4200:322897.115;4300:295952.278;4400:269402.732;4500:250560.116;4600:214489.17;4700:198407.944;4800:177796.527;4900:165047.61;5000:148646.015
DE,F15,6738.339,2350.777,1:31380689148.227;100:310387850.851;200:1337931.813;300:205709.417;400:100430.976;500:63826.313;600:46822.914;700:35428.298;800:28275.356;900:23926.033;1000:19926.854;1100:17770.868;1200:16156.271;1300:14774.936;1400:13863.705;1500:12893.895;1600:12153.446;1700:11475.419;1800:11301.407;1900:10735.293;2000:10395.197;2100:9907.704;2200:9669.646;2300:9421.578;2400:9123.875;2500:8955.246;2600:8880.141;2700:8703.293;2800:8519.265;2900:8333.689;3000:8219.885;3100:8063.373;3200:7970.928;3300:7841.065;3400:7717.044;3500:7653.593;3600:7579.858;3700:7523.159;3800:7493.16;3900:7387.553;4000:7364.001;4100:7298.486;4200:7167.383;4300:7097.349;4400:7013.77;4500:6969.196;4600:6902.908;4700:6864.557;4800:6848.553;4900:6764.948;5000:6738.339
DE,F16,30434867.225,42195211.447,1:6.339258180134145e+16;100:11429883297737.01;200:87333221981.576;300:34240316994.056;400:19258381797.796;500:15345731775.157;600:12367491462.833;700:9464474612.489;800:7503248733.719;900:6738392014.971;1000:5760719957.592;1100:5279840606.968;1200:4554753571.244;1300:4116869590.468;1400:3246971344.838;1500:2865893845.801;1600:2669580067.93;1700:2507867148.542;1800:2126673137.321;1900:2000636759.447;2000:1651615119.829;2100:1579701198.346;2200:1400338885.181;2300:1304035510.304;2400:929952671.882;2500:778792954.417;2600:762061433.554;2700:700011584.677;2800:664093577.771;2900:508448627.183;3000:457247803.514;3100:384766606.224;3200:350787343.932;3300:326722896.397;3400:309336226.032;3500:271407631.142;3600:257389824.537;3700:247458872.647;3800:173843942.891;3900:131186882.044;4000:121858402.422;4100:98432507.102;4200:77077256.422;4300:71198666.015;4400:69696631.252;4500:59606123.585;4600:57279046.13;4700:54109155.698;4800:38566379.219;4900:32994263.416;5000:30434867.225
DE,F17,5148773.258,1317457.514,1:10668884188.592;100:115993688.61;200:64009970.433;300:54501373.862;400:48142059.848;500:43143217.267;600:39527632.605;700:35403560.959;800:32461287.981;900:31270066.239;1000:29881856.413;1100:28520213.273;1200:26533273.428;1300:25085059.366;1400:23589195.982;1500:22481197.104;1600:21678298.214;1700:20445561.543;1800:19592684.032;1900:18671527.088;2000:18213262.681;2100:18016478.998;2200:17296563.381;2300:16875532.671;2400:16010837.173;2500:15163945.957;2600:14376153.69;2700:13934853.749;2800:13382266.649;2900:13025592.96;3000:12643715.349;3100:12348823.46;3200:11795217.259;3300:11374882.531;3400:10542352.368;3500:10051086.827;3600:9713868.088;3700:9177160.323;3800:8687076.525;3900:8238195.513;4000:7819510.451;4100:7584956.904;4200:7278296.017;4300:6803680.049;4400:6528583.382;4500:6199354.487;4600:5882021.605;4700:5689865.953;4800:5470915.526;4900:5340229.185;5000:5148773.258
DE,F18,8801.056,11380.942,1:3.286202490174564e+16;100:3288371653323.506;200:11420818227.27;300:1417609058.619;400:263764579.443;500:63090884.518;600:21405858.682;700:8583487.516;800:3856455.614;900:2219560.168;1000:1346517.806;1100:810191.643;1200:610246.644;1300:493085.397;1400:356551.271;1500:252828.48;1600:209850.304;1700:189212.536;1800:149980.985;1900:112398.81;2000:105199.361;2100:95983.706;2200:79189.432;2300:67960.823;2400:58714.218;2500:49340.732;2600:46790.886;2700:39887.346;2800:36486.808;2900:34360.832;3000:28932.783;3100:27479.587;3200:25384.877;3300:24003.287;3400:20312.97;3500:19533.908;3600:18700.049;3700:17955.614;3800:17280.841;3900:16104.753;4000:15585.669;4100:13613.708;4200:12983.346;4300:12733.798;4400:12423.572;4500:11993.696;4600:11515.613;4700:10881.133;4800:10276.355;4900:9113.298;5000:8801.056
DE,F19,2408.201,87.153,1:49019.386;100:20536.525;200:7219.258;300:5651.048;400:4996.676;500:4474.326;600:4148.92;700:3887.659;800:3674.149;900:3472.362;1000:3355.337;1100:3260.37;1200:3161.921;1300:3074.288;1400:3004.943;1500:2956.263;1600:2902.056;1700:2859.22;1800:2828.377;1900:2793.58;2000:2770.337;2100:2747.402;2200:2720.374;2300:2685.025;2400:2666.095;2500:2654.039;2600:2635.786;2700:2619.442;2800:2598.636;2900:2585.658;3000:2569.999;3100:2556.368;3200:2540.188;3300:2526.702;3400:2520.614;3500:2509.597;3600:2499.238;3700:2491.629;3800:2484.688;3900:2472.8;4000:2462.303;4100:2460.088;4200:2451.723;4300:2444.56;4400:2438.399;4500:2433.432;4600:2426.159;4700:2424.141;4800:2419.853;4900:2409.359;5000:2408.201
DE,F20,3262.013,23.265,1:282414.707;100:111716.679;200:46710.761;300:28075.336;400:18439.717;500:12347.671;600:9066.474;700:6857.947;800:5517.727;900:4725.269;1000:4242.808;1100:3943.941;1200:3779.825;1300:3660.714;1400:3581.551;1500:3538.655;1600:3492.398;1700:3464.902;1800:3441.444;1900:3409.252;2000:3392.124;2100:3376.318;2200:3356.852;2300:3356.285;2400:3349.881;2500:3347.434;2600:3335.546;2700:3334.577;2800:3327.407;2900:3320.708;3000:3313.781;3100:3311.888;3200:3304.933;3300:3304.008;3400:3299.783;3500:3293.885;3600:3288.153;3700:3286.239;3800:3283.112;3900:3281.098;4000:3279.305;4100:3278.361;4200:3273.922;4300:3272.453;4400:3271.182;4500:3269.396;4600:3268.43;4700:3267.094;4800:3266.953;4900:3262.557;5000:3262.013
DE,F21,2200.014,0.003,1:34543.203;100:17972.134;200:3667.324;300:2730.908;400:2582.066;500:2513.153;600:2472.213;700:2444.168;800:2420.368;900:2399.979;1000:2382.591;1100:2366.687;1200:2351.354;1300:2338.454;1400:2323.618;1500:2309.209;1600:2294.22;1700:2279.012;1800:2263.455;1900:2250.435;2000:2239.909;2100:2231.414;2200:2224.94;2300:2220.086;2400:2216.144;2500:2213.052;2600:2210.357;2700:2208.206;2800:2206.413;2900:2205.006;3000:2203.887;3100:2202.938;3200:2202.257;3300:2201.707;3400:2201.298;3500:2200.973;3600:2200.74;3700:2200.55;3800:2200.418;3900:2200.317;4000:2200.237;4100:2200.18;4200:2200.136;4300:2200.101;4400:2200.076;4500:2200.058;4600:2200.044;4700:2200.033;4800:2200.025;4900:2200.019;5000:2200.014
DE,F22,2473.82,276.066,1:132360.789;100:90021.805;200:37440.074;300:25631.32;400:19221.888;500:14836.359;600:11632.494;700:9352.634;800:7607.183;900:6326.093;1000:5366.915;1100:4667.168;1200:4128.841;1300:3715.608;1400:3403.147;1500:3180.726;1600:3006.869;1700:2873.704;1800:2774.097;1900:2701.831;2000:2646.024;2100:2605.205;2200:2573.363;2300:2550.515;2400:2532.624;2500:2519.447;2600:2508.511;2700:2500.959;2800:2493.374;2900:2489.055;3000:2485.873;3100:2483.351;3200:2481.558;3300:2480.134;3400:2479.057;3500:2478.275;3600:2477.657;3700:2477.198;3800:2476.854;3900:2475.229;4000:2475.029;4100:2474.885;4200:2474.769;4300:2474.648;4400:2474.583;4500:2474.122;4600:2474.087;4700:2474.059;4800:2474.039;4900:2473.831;5000:2473.82
DE,F23,2575.171,281.18,1:194297.617;100:112411.677;200:50072.047;300:35375.144;400:27572.917;500:21427.653;600:16984.892;700:13424.437;800:10772.11;900:8779.192;1000:7219.286;1100:6121.99;1200:5250.651;1300:4600.131;1400:4107.07;1500:3734.415;1600:3450.769;1700:3246.803;1800:3084.798;1900:2962.995;2000:2870.538;2100:2800.368;2200:2746.221;2300:2705.607;2400:2677.008;2500:2653.174;2600:2636.9;2700:2623.82;2800:2613.714;2900:2605.106;3000:2599.927;3100:2592.156;3200:2588.988;3300:2586.533;3400:2584.78;3500:2583.446;3600:2582.413;3700:2581.633;3800:2580.462;3900:2580.039;4000:2579.699;4100:2579.45;4200:2579.269;4300:2576.7;4400:2576.591;4500:2576.511;4600:2575.965;4700:2575.918;4800:2575.882;4900:2575.856;5000:2575.171
DE,F24,3279.918,9.48,1:62803.856;100:12114.584;200:7726.069;300:6415.943;400:5600.217;500:5171.475;600:4854.336;700:4614.861;800:4396.014;900:4255.753;1000:4133.073;1100:4024.218;1200:3943.273;1300:3871.389;1400:3799.603;1500:3751.183;1600:3706.373;1700:3650.237;1800:3614.781;1900:3572.799;2000:3549.383;2100:3516.855;2200:3493.957;2300:3473.887;2400:3450.583;2500:3435.38;2600:3418.154;2700:3404.522;2800:3392.851;2900:3382.77;3000:3371.067;3100:3362.404;3200:3352.077;3300:3344.1;3400:3337.573;3500:3330.819;3600:3323.673;3700:3317.867;3800:3312.931;3900:3307.846;4000:3303.748;4100:3299.311;4200:3296.37;4300:3293.494;4400:3291.285;4500:3288.193;4600:3286.472;4700:3284.667;4800:3282.739;4900:3281.334;5000:3279.918
DE,F25,5834.637,0.028,1:578628.419;100:40314.339;200:8892.767;300:6922.315;400:6370.96;500:6100.223;600:5970.207;700:5905.941;800:5874.544;900:5859.479;1000:5851.974;1100:5847.797;1200:5844.785;1300:5842.153;1400:5839.781;1500:5837.892;1600:5836.809;1700:5836.218;1800:5835.818;1900:5835.514;2000:5835.28;2100:5835.128;2200:5835.021;2300:5834.96;2400:5834.909;2500:5834.868;2600:5834.833;2700:5834.808;2800:5834.779;2900:5834.757;3000:5834.738;3100:5834.717;3200:5834.701;3300:5834.687;3400:5834.677;3500:5834.669;3600:5834.663;3700:5834.657;3800:5834.653;3900:5834.649;4000:5834.646;4100:5834.643;4200:5834.641;4300:5834.64;4400:5834.639;4500:5834.639;4600:5834.638;4700:5834.638;4800:5834.638;4900:5834.637;5000:5834.637
DE,F26,3356.993,59.04,1:21208.08;100:10659.334;200:4761.594;300:4356.831;400:4140.959;500:4020.482;600:3938.141;700:3884.726;800:3853.044;900:3800.03;1000:3759.191;1100:3731.384;1200:3708.776;1300:3683.826;1400:3664.219;1500:3647.343;1600:3630.186;1700:3613.561;1800:3594.01;1900:3579.758;2000:3566.062;2100:3560.032;2200:3540.396;2300:3531.531;2400:3523.569;2500:3508.317;2600:3500.653;2700:3488.458;2800:3477.548;2900:3470.402;3000:3465.965;3100:3460.405;3200:3453.941;3300:3443.5;3400:3434.7;3500:3430.402;3600:3427.738;3700:3421.951;3800:3416.34;3900:3411.298;4000:3400.247;4100:3395.043;4200:3391.421;4300:3387.33;4400:3384.445;4500:3380.4;4600:3378.542;4700:3371.487;4800:3363.07;4900:3360.62;5000:3356.993
DE,F27,3207.03,26.572,1:42140.95;100:7971.002;200:4997.409;300:4285.894;400:3956.113;500:3800.412;600:3674.034;700:3590.526;800:3523.457;900:3484.093;1000:3446.37;1100:3419.196;1200:3392.114;1300:3372.577;1400:3356.875;1500:3343.832;1600:3330.752;1700:3321.131;1800:3315.812;1900:3306.713;2000:3300.472;2100:3291.973;2200:3287.489;2300:3281.426;2400:3276.906;2500:3272.511;2600:3268.542;2700:3265.027;2800:3262.524;2900:3260.148;3000:3256.178;3100:3253.29;3200:3250.402;3300:3247.709;3400:3245.324;3500:3242.633;3600:3239.611;3700:3237.574;3800:3235.079;3900:3233.183;4000:3231.341;4100:3229.011;4200:3227.098;4300:3225.58;4400:3223.635;4500:3221.561;4600:3219.665;4700:3217.479;4800:3215.206;4900:3212.239;5000:3207.03
DE,F28,15443986.875,14311802.587,1:3.120053018230419e+17;100:8280730425469.204;200:66224326072.008;300:17919250404.892;400:9150244180.381;500:5553511373.825;600:3497991763.465;700:2437893913.014;800:1711776512.545;900:1409558557.706;1000:1086035569.137;1100:818983975.268;1200:678366797.177;1300:528955498.995;1400:478885410.741;1500:415653908.856;1600:366399706.854;1700:316418038.678;1800:272066409.419;1900:233505305.854;2000:201877905.036;2100:181559458.94;2200:160039670.584;2300:139228494.106;2400:126796682.317;2500:117717048.898;2600:103561430.091;2700:96936460.791;2800:87290516.579;2900:79083307.898;3000:71786761.387;3100:66195564.338;3200:60323508.058;3300:55482958.809;3400:52968524.159;3500:50037990.708;3600:45892053.575;3700:43183035.986;3800:37474423.51;3900:33317913.059;4000:31024443.262;4100:28782138.154;4200:26280697.754;4300:23667168.79;4400:22080678.007;4500:20948214.64;4600:20214972.467;4700:19056032.069;4800:17796722.046;4900:16400774.18;5000:15443986.875
DE,F29,2655853.526,1068511.807,1:9.29490790786023e+16;100:1371624186793.795;200:23094612117.297;300:5612072642.971;400:2112181882.518;500:931159080.576;600:562141612.568;700:357556877.66;800:247755605.661;900:180127697.999;1000:134985203.55;1100:100871144.518;1200:82200174.769;1300:67995417.002;1400:56396769.078;1500:46157075.608;1600:38783297.707;1700:33482991.321;1800:28976694.832;1900:26360814.883;2000:24460004.184;2100:20695909.07;2200:18736510.094;2300:16095136.535;2400:13754762.713;2500:12547033.29;2600:11854674.128;2700:10914720.964;2800:9724742.623;2900:9075313.818;3000:8327157.641;3100:8041384.651;3200:7342375.473;3300:6554451.045;3400:6259676.407;3500:6043822.775;3600:5699281.464;3700:5329808.803;3800:5057760.298;3900:4773881.019;4000:4440937.183;4100:4138830.306;4200:4021987.55;4300:3849832.838;4400:3610841.566;4500:3431471.212;4600:3155220.77;4700:2995436.439;4800:2914595.011;4900:2757460.181;5000:2655853.526
